ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AAPL,01/06/2024,207.49,46229228,9592102517.720001,,100
AAPL,01/06/2024,254.49,44330101,11281567403.49,,96
AAPL,01/06/2024,228.20,33822229,7718232657.799999,,73
ABNB,01/06/2024,134.52,2737137,368199669.24,,100
ABNB,01/06/2024,127.85,2409541,308059816.84999996,,88
ABNB,01/06/2024,164.76,2267280,373557052.79999995,,83
ABNB,01/06/2024,135.28,1784448,241400125.44,,65
ABNB,01/06/2024,134.21,1544216,207249229.36,,56
ABNB,01/06/2024,115.71,1509192,174628606.32,,55
ABNB,01/06/2024,152.50,1465165,223437662.5,,54
AMZN,01/06/2024,223.30,24911196,5562670066.8,,100
AMZN,01/06/2024,224.92,13956251,3139039974.9199996,,56
AMZN,01/06/2024,227.35,12574223,2858749599.0499997,,50
AMZN,01/06/2024,231.48,12408223,2872255460.04,,50
GFS,01/06/2024,35.70,1805600,64459920.00000001,,100
GFS,01/06/2024,44.28,1071961,47466433.08,,59
INTC,01/06/2024,21.00,34107198,716251158.0,,100
INTC,01/06/2024,36.82,32064225,1180604764.5,,94
INTC,01/06/2024,20.41,29383198,599711071.18,,86
INTC,01/06/2024,19.75,22437697,443144515.75,,66
INTC,01/06/2024,22.69,20058298,455122781.62,,59
INTC,01/06/2024,24.87,16953154,421624939.98,,50
IWM,01/06/2024,242.91,18823808,4572491201.28,,100
IWM,01/06/2024,209.65,11400000,2390010000.0,,61
MOD,01/06/2024,91.70,575000,52727500.0,,100
MOD,01/06/2024,69.09,380000,26254200.0,,66
MOD,01/06/2024,100.19,290139,29069026.41,,50
MU,01/06/2024,96.94,6048632,586354386.08,,100
MU,01/06/2024,124.76,5861339,731260653.64,,97
MU,01/06/2024,265.92,5424951,1442602969.92,,90
MU,01/06/2024,237.50,5127456,1217770800.0,,85
MU,01/06/2024,161.71,4546519,735217587.49,,75
MU,01/06/2024,122.08,3598810,439342724.8,,59
MU,01/06/2024,106.95,3416472,365391680.40000004,,56
MU,01/06/2024,108.60,3377221,366766200.59999996,,56
OKLO,01/06/2024,128.80,2910022,374810833.6,,100
OKLO,01/06/2024,115.93,2739022,317534820.46000004,,94
OKLO,01/06/2024,174.14,2623377,456834870.78,,90
OKLO,01/06/2024,139.44,2553751,356095039.44,,88
OKLO,01/06/2024,159.05,2553751,406174096.55,,88
OKLO,01/06/2024,134.77,2447930,329907526.1,,84
OKLO,01/06/2024,76.59,2373068,181753278.12,,82
OKLO,01/06/2024,171.01,2323377,397320700.77,,80
OKLO,01/06/2024,134.12,2267930,304174771.6,,78
OKLO,01/06/2024,95.83,1995043,191184970.69,,69
OKLO,01/06/2024,9.02,1760239,15877355.78,,60
SLV,01/06/2024,28.99,8956252,259641745.48,,100
SLV,01/06/2024,29.13,8000000,233040000.0,,89
SLV,01/06/2024,29.49,7040000,207609600.0,,79
SLV,01/06/2024,30.81,7000000,215670000.0,,78
SLV,01/06/2024,33.37,6150000,205225499.99999997,,69
SLV,01/06/2024,29.19,6000000,175140000.0,,67
SLV,01/06/2024,29.40,5794700,170364180.0,,65
SLV,01/06/2024,29.59,5450000,161265500.0,,61
SLV,01/06/2024,46.65,5275000,246078750.0,,59
SLV,01/06/2024,29.64,5200000,154128000.0,,58
SLV,01/06/2024,29.21,5175000,151161750.0,,58
SLV,01/06/2024,29.35,4850000,142347500.0,,54
SLV,01/06/2024,29.57,4650000,137500500.0,,52
SLV,01/06/2024,47.05,4600000,216430000.0,,51
SLV,01/06/2024,47.30,4575000,216397500.0,,51
SLV,01/06/2024,29.30,4519700,132427210.0,,50
SLV,01/06/2024,29.23,4500000,131535000.0,,50
SLV,01/06/2024,29.90,4492500,134325750.0,,50
SLV,01/06/2024,28.06,4444000,124698640.0,,50
SPY,01/06/2024,494.38,12173569,6018369042.22,,100
SPY,01/06/2024,490.98,11128214,5463730509.72,,91
SPY,01/06/2024,516.03,11064431,5709578328.929999,,91
SPY,01/06/2024,522.91,10947203,5724401920.73,,90
SPY,01/06/2024,518.42,10530167,5459049176.139999,,87
