ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AAOI,03/02/2024,20.76,595300,12358428.0,,100
AAOI,03/02/2024,20.78,595300,12370334.0,,100
AAOI,03/02/2024,20.79,595300,12376287.0,,100
AAOI,03/02/2024,20.73,595200,12338496.0,,100
AAOI,03/02/2024,19.04,582073,11082669.92,,98
AAOI,03/02/2024,8.29,553240,4586359.6,,93
AAOI,03/02/2024,23.43,504400,11818092.0,,85
AAOI,03/02/2024,21.13,472066,9974754.58,,79
AAOI,03/02/2024,25.83,426058,11005078.139999999,,72
AAOI,03/02/2024,44.30,422000,18694600.0,,71
AAOI,03/02/2024,27.84,422000,11748480.0,,71
AAOI,03/02/2024,18.14,410634,7448900.76,,69
AAOI,03/02/2024,26.22,350952,9201961.44,,59
AAOI,03/02/2024,21.72,336000,7297920.0,,56
AAOI,03/02/2024,10.15,331600,3365740.0,,56
AAOI,03/02/2024,38.19,311700,11903823.0,,52
AMZN,03/02/2024,223.30,24911196,5562670066.8,,100
AMZN,03/02/2024,224.92,13956251,3139039974.9199996,,56
AMZN,03/02/2024,227.35,12574223,2858749599.0499997,,50
AMZN,03/02/2024,231.48,12408223,2872255460.04,,50
AXON,03/02/2024,631.69,1792482,1132292954.5800002,,100
EFA,03/02/2024,94.50,8358000,789831000.0,,100
EFA,03/02/2024,78.58,6747224,530196861.92,,81
EFA,03/02/2024,90.61,4250000,385092500.0,,51
FSLR,03/02/2024,193.23,650000,125599500.0,,100
FSLR,03/02/2024,165.90,600000,99540000.0,,92
FSLR,03/02/2024,163.64,547335,89565899.39999999,,84
FSLR,03/02/2024,136.56,500000,68280000.0,,77
FSLR,03/02/2024,203.61,499900,101784639.0,,77
FSLR,03/02/2024,131.46,481979,63360959.34,,74
FSLR,03/02/2024,130.90,452034,59171250.6,,70
FSLR,03/02/2024,194.80,450000,87660000.0,,69
FSLR,03/02/2024,164.62,364757,60046297.34,,56
