ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
APO,03/09/2024,171.03,21824508,3732645603.2400002,,100
BIDU,03/09/2024,135.27,2000000,270540000.0,,100
BIDU,03/09/2024,123.94,1445000,179093300.0,,72
BIDU,03/09/2024,122.34,1200000,146808000.0,,60
BIDU,03/09/2024,89.54,1110000,99389400.0,,56
BIDU,03/09/2024,86.36,1040500,89857580.0,,52
CG,03/09/2024,34.54,4822000,166551880.0,,100
GOOG,03/09/2024,178.27,14208935,2533026842.4500003,,100
GOOG,03/09/2024,164.64,8766425,1443304211.9999998,,62
RBLX,03/09/2024,52.24,7520321,392861569.04,,100
RBLX,03/09/2024,51.03,5952331,303747450.93,,79
RBLX,03/09/2024,54.38,5189378,282198375.64,,69
RSP,03/09/2024,197.78,5056000,999975680.0,,100
RSP,03/09/2024,181.08,4502000,815222160.0,,89
RSP,03/09/2024,183.97,4000000,735880000.0,,79
RSP,03/09/2024,193.41,3591484,694628920.4399999,,71
RSP,03/09/2024,180.20,3128400,563737680.0,,62
RSP,03/09/2024,181.78,2860000,519890800.0,,57
RSP,03/09/2024,178.54,2530247,451750299.38,,50
U,03/09/2024,25.11,4044536,101558298.96,,100
U,03/09/2024,18.50,2166200,40074700.0,,54
USO,03/09/2024,75.00,1225800,91935000.0,,100
USO,03/09/2024,69.70,797165,55562400.5,,65
USO,03/09/2024,74.40,654900,48724560.0,,53
USO,03/09/2024,80.82,608000,49138559.99999999,,50
WULF,03/09/2024,6.40,36500600,233603840.0,,100
ZBRA,03/09/2024,308.36,156501,48258648.36,,100
