ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AMD,02/05/2024,96.39,7001878,674911020.42,,100
AMD,02/05/2024,159.92,5833442,932884044.64,,83
AMD,02/05/2024,100.59,5460762,549298049.58,,78
AMD,02/05/2024,119.21,5363287,639357443.27,,77
AMD,02/05/2024,213.43,5302779,1131772121.97,,76
AMD,02/05/2024,148.60,4575936,679984089.6,,65
AMD,02/05/2024,165.47,4200000,694974000.0,,60
AMD,02/05/2024,101.13,4000000,404520000.0,,57
AMZN,02/05/2024,223.30,24911196,5562670066.8,,100
AMZN,02/05/2024,224.92,13956251,3139039974.9199996,,56
AMZN,02/05/2024,227.35,12574223,2858749599.0499997,,50
AMZN,02/05/2024,231.48,12408223,2872255460.04,,50
BTDR,02/05/2024,10.00,2857377,28573770.0,,100
BTDR,02/05/2024,20.45,2751235,56262755.75,,96
BTDR,02/05/2024,7.15,2500000,17875000.0,,87
BTDR,02/05/2024,10.55,1800400,18994220.0,,63
BTDR,02/05/2024,13.94,1558819,21729936.86,,55
CLS,02/05/2024,43.76,1653800,72370288.0,,100
CLS,02/05/2024,44.00,1121600,49350400.0,,68
CLS,02/05/2024,40.73,989000,40281970.0,,60
GENI,02/05/2024,10.10,13705049,138420994.9,,100
IBIT,02/05/2024,59.81,6500000,388765000.0,,100
IBIT,02/05/2024,63.39,6000000,380340000.0,,92
IBIT,02/05/2024,54.78,5950000,325941000.0,,92
IBIT,02/05/2024,66.38,5100000,338538000.0,,78
IBIT,02/05/2024,50.73,4745000,240713850.0,,73
IBIT,02/05/2024,52.74,4327458,228230134.92000002,,67
IBIT,02/05/2024,53.83,4300000,231469000.0,,66
IBIT,02/05/2024,65.89,4050000,266854500.0,,62
IBIT,02/05/2024,48.50,4000000,194000000.0,,62
IBIT,02/05/2024,55.09,3790000,208791100.0,,58
IBIT,02/05/2024,51.43,3500000,180005000.0,,54
IBIT,02/05/2024,64.30,3500000,225050000.0,,54
IBIT,02/05/2024,65.10,3500000,227849999.99999997,,54
IBIT,02/05/2024,66.98,3500000,234430000.0,,54
IBIT,02/05/2024,66.85,3320000,221941999.99999997,,51
IWM,02/05/2024,242.91,18823808,4572491201.28,,100
IWM,02/05/2024,209.65,11400000,2390010000.0,,61
KRE,02/05/2024,53.90,4457744,240272401.6,,100
KRE,02/05/2024,56.99,3200000,182368000.0,,72
KRE,02/05/2024,52.10,3200000,166720000.0,,72
KRE,02/05/2024,54.45,3000000,163350000.0,,67
KRE,02/05/2024,69.85,2900000,202564999.99999997,,65
KRE,02/05/2024,49.35,2769317,136665793.95000002,,62
KRE,02/05/2024,57.74,2599036,150068338.64000002,,58
KRE,02/05/2024,59.39,2503406,148677282.34,,56
KRE,02/05/2024,64.70,2492000,161232400.0,,56
MARA,02/05/2024,19.30,3590626,69299081.8,,100
MARA,02/05/2024,10.18,3540499,36042279.82,,99
MARA,02/05/2024,26.96,3500000,94360000.0,,97
MARA,02/05/2024,28.56,3500000,99960000.0,,97
MARA,02/05/2024,15.03,3406944,51206368.32,,95
MARA,02/05/2024,12.53,3093454,38760978.62,,86
MARA,02/05/2024,18.10,2834346,51301662.6,,79
MARA,02/05/2024,18.29,2266207,41448926.03,,63
MARA,02/05/2024,15.30,2024369,30972845.700000003,,56
MARA,02/05/2024,15.43,2000000,30860000.0,,56
MARA,02/05/2024,21.93,2000000,43860000.0,,56
MARA,02/05/2024,17.38,1910200,33199275.999999996,,53
MARA,02/05/2024,15.15,1871872,28358860.8,,52
MARA,02/05/2024,9.93,1857600,18445968.0,,52
MARA,02/05/2024,12.38,1856490,22983346.200000003,,52
MARA,02/05/2024,13.91,1787600,24865516.0,,50
MARA,02/05/2024,18.81,1779700,33476156.999999996,,50
