ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
BILI,01/14/2024,20.33,5186872,105449107.75999999,,100
BILI,01/14/2024,18.73,4534738,84935642.74,,87
BILI,01/14/2024,19.23,3235000,62209050.0,,62
CSGP,01/14/2024,59.00,1717688,101343592.0,,100
CSGP,01/14/2024,68.14,863600,58845704.0,,50
GLD,01/14/2024,275.24,4238138,1166505103.1200001,,100
GLD,01/14/2024,312.08,3200000,998656000.0,,76
GLD,01/14/2024,339.18,2500000,847950000.0,,59
GLD,01/14/2024,374.30,2234000,836186200.0,,53
GLD,01/14/2024,268.20,2233000,598890600.0,,53
MMM,01/14/2024,149.87,1000117,149887534.79,,100
MMM,01/14/2024,104.84,983700,103131108.0,,98
MMM,01/14/2024,107.87,979700,105680239.0,,98
MMM,01/14/2024,149.68,800000,119744000.0,,80
MMM,01/14/2024,151.42,750000,113564999.99999999,,75
MMM,01/14/2024,133.65,750000,100237500.0,,75
MMM,01/14/2024,140.75,750000,105562500.0,,75
MMM,01/14/2024,147.43,700000,103201000.0,,70
MMM,01/14/2024,146.18,700000,102326000.0,,70
MMM,01/14/2024,98.61,698500,68879085.0,,70
MMM,01/14/2024,91.83,698500,64143255.0,,70
MMM,01/14/2024,147.82,686221,101437188.22,,69
MMM,01/14/2024,153.03,646831,98984547.93,,65
MMM,01/14/2024,100.14,622614,62348565.96,,62
MMM,01/14/2024,153.09,603258,92352767.22,,60
MMM,01/14/2024,152.86,595200,90982272.00000001,,60
MMM,01/14/2024,129.77,587830,76282699.10000001,,59
MMM,01/14/2024,105.26,568333,59822731.580000006,,57
MMM,01/14/2024,129.28,564288,72951152.64,,56
MMM,01/14/2024,153.65,525000,80666250.0,,52
MMM,01/14/2024,132.76,500000,66379999.99999999,,50
MMM,01/14/2024,134.05,498600,66837330.00000001,,50
MMM,01/14/2024,102.19,498110,50901860.9,,50
MSFT,01/14/2024,485.92,14407283,7000786955.360001,,100
NVDA,01/14/2024,126.57,100069019,12665735734.83,,100
ORCL,01/14/2024,191.97,4373864,839650672.08,,100
ORCL,01/14/2024,141.20,3999223,564690287.5999999,,91
ORCL,01/14/2024,218.63,3585362,783867694.06,,82
