ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
BE,03/16/2024,129.05,3099748,400022479.40000004,,100
BE,03/16/2024,54.91,2642150,145080456.5,,85
BE,03/16/2024,85.20,2019100,172027320.0,,65
BE,03/16/2024,43.35,1903200,82503720.0,,61
BE,03/16/2024,10.25,1606100,16462525.0,,52
GOOG,03/16/2024,178.27,14208935,2533026842.4500003,,100
GOOG,03/16/2024,164.64,8766425,1443304211.9999998,,62
GTLB,03/16/2024,64.76,996880,64557948.800000004,,100
GTLB,03/16/2024,60.68,811952,49269247.36,,81
GTLB,03/16/2024,24.10,773576,18643181.6,,78
GTLB,03/16/2024,29.85,604625,18048056.25,,61
GTLB,03/16/2024,49.97,531000,26534070.0,,53
INTC,03/16/2024,21.00,34107198,716251158.0,,100
INTC,03/16/2024,36.82,32064225,1180604764.5,,94
INTC,03/16/2024,20.41,29383198,599711071.18,,86
INTC,03/16/2024,19.75,22437697,443144515.75,,66
INTC,03/16/2024,22.69,20058298,455122781.62,,59
INTC,03/16/2024,24.87,16953154,421624939.98,,50
NVDA,03/16/2024,126.57,100069019,12665735734.83,,100
SCHW,03/16/2024,82.28,6356588,523020060.64,,100
SCHW,03/16/2024,81.26,4235267,344157796.42,,67
SCHW,03/16/2024,69.93,4024104,281405592.72,,63
SCHW,03/16/2024,98.82,3883855,383802551.09999996,,61
SCHW,03/16/2024,81.39,3392262,276096204.18,,53
SCHW,03/16/2024,79.00,3320653,262331587.0,,52
