ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AMD,03/03/2024,96.39,7001878,674911020.42,,100
AMD,03/03/2024,159.92,5833442,932884044.64,,83
AMD,03/03/2024,100.59,5460762,549298049.58,,78
AMD,03/03/2024,119.21,5363287,639357443.27,,77
AMD,03/03/2024,213.43,5302779,1131772121.97,,76
AMD,03/03/2024,148.60,4575936,679984089.6,,65
AMD,03/03/2024,165.47,4200000,694974000.0,,60
AMD,03/03/2024,101.13,4000000,404520000.0,,57
GDX,03/03/2024,29.74,8825049,262456957.26,,100
GDX,03/03/2024,33.84,7058826,238870671.84000003,,80
GDX,03/03/2024,37.61,6882869,258864703.09,,78
HON,03/03/2024,208.60,2015000,420329000.0,,100
HON,03/03/2024,226.67,1953346,442764937.82,,97
HON,03/03/2024,199.11,1756070,349651097.70000005,,87
HON,03/03/2024,219.39,1488451,326551264.89,,74
HON,03/03/2024,215.07,1458000,313572060.0,,72
HON,03/03/2024,208.52,1394852,290854539.04,,69
HON,03/03/2024,192.06,1387484,266480177.04,,69
HON,03/03/2024,196.46,1360000,267185600.0,,67
HON,03/03/2024,209.00,1316276,275101684.0,,65
HON,03/03/2024,216.14,1265000,273417100.0,,63
HON,03/03/2024,230.40,1222994,281777817.6,,61
HON,03/03/2024,226.40,1200000,271680000.0,,60
HON,03/03/2024,216.40,1189000,257299600.0,,59
HON,03/03/2024,207.09,1066761,220915535.49,,53
HON,03/03/2024,226.09,1064000,240559760.0,,53
HON,03/03/2024,207.82,1000000,207820000.0,,50
IWM,03/03/2024,242.91,18823808,4572491201.28,,100
IWM,03/03/2024,209.65,11400000,2390010000.0,,61
MSFT,03/03/2024,485.92,14407283,7000786955.360001,,100
MU,03/03/2024,96.94,6048632,586354386.08,,100
MU,03/03/2024,124.76,5861339,731260653.64,,97
MU,03/03/2024,265.92,5424951,1442602969.92,,90
MU,03/03/2024,237.50,5127456,1217770800.0,,85
MU,03/03/2024,161.71,4546519,735217587.49,,75
MU,03/03/2024,122.08,3598810,439342724.8,,59
MU,03/03/2024,106.95,3416472,365391680.40000004,,56
MU,03/03/2024,108.60,3377221,366766200.59999996,,56
MU,03/03/2024,362.75,3139288,1138776722.0,,52
QQQ,03/03/2024,605.96,4957801,3004229093.96,,100
QQQ,03/03/2024,521.61,4938955,2576208317.55,,100
QQQ,03/03/2024,577.30,3475000,2006117499.9999998,,70
QQQ,03/03/2024,438.73,3430000,1504843900.0,,69
QQQ,03/03/2024,472.50,3072200,1451614500.0,,62
QQQ,03/03/2024,439.97,2997697,1318896749.0900002,,60
QQQ,03/03/2024,447.32,2750000,1230130000.0,,55
QQQ,03/03/2024,465.79,2739219,1275900818.01,,55
QQQ,03/03/2024,440.18,2736539,1204569737.02,,55
QQQ,03/03/2024,599.55,2700000,1618784999.9999998,,54
QQQ,03/03/2024,602.40,2663307,1604376136.8,,54
QQQ,03/03/2024,586.99,2520000,1479214800.0,,51
SLV,03/03/2024,28.99,8956252,259641745.48,,100
SLV,03/03/2024,29.13,8000000,233040000.0,,89
SLV,03/03/2024,29.49,7040000,207609600.0,,79
SLV,03/03/2024,30.81,7000000,215670000.0,,78
SLV,03/03/2024,33.37,6150000,205225499.99999997,,69
SLV,03/03/2024,29.19,6000000,175140000.0,,67
SLV,03/03/2024,29.40,5794700,170364180.0,,65
SLV,03/03/2024,29.59,5450000,161265500.0,,61
SLV,03/03/2024,46.65,5275000,246078750.0,,59
SLV,03/03/2024,29.64,5200000,154128000.0,,58
SLV,03/03/2024,29.21,5175000,151161750.0,,58
SLV,03/03/2024,29.35,4850000,142347500.0,,54
SLV,03/03/2024,29.57,4650000,137500500.0,,52
SLV,03/03/2024,47.05,4600000,216430000.0,,51
SLV,03/03/2024,47.30,4575000,216397500.0,,51
SLV,03/03/2024,29.30,4519700,132427210.0,,50
SLV,03/03/2024,29.23,4500000,131535000.0,,50
SLV,03/03/2024,29.90,4492500,134325750.0,,50
SLV,03/03/2024,28.06,4444000,124698640.0,,50
SPY,03/03/2024,516.03,11064431,5709578328.929999,,100
SPY,03/03/2024,522.91,10947203,5724401920.73,,99
SPY,03/03/2024,518.42,10530167,5459049176.139999,,95
SPY,03/03/2024,560.83,9371721,5255942288.43,,85
SPY,03/03/2024,548.24,9324370,5111992608.8,,84
SPY,03/03/2024,512.97,9184594,4711421184.18,,83
SPY,03/03/2024,528.67,9176946,4851576041.82,,83
SPY,03/03/2024,542.70,9045726,4909115500.200001,,82
SPY,03/03/2024,510.10,8395635,4282613413.5,,76
SPY,03/03/2024,519.32,8166230,4240886563.6000004,,74
SPY,03/03/2024,546.19,7887310,4307969848.900001,,71
SPY,03/03/2024,522.45,7884938,4119485858.1000004,,71
SPY,03/03/2024,518.24,7869300,4078186032.0,,71
SPY,03/03/2024,522.14,7706676,4023963806.64,,70
SPY,03/03/2024,512.31,7293957,3736767110.6699996,,66
SPY,03/03/2024,546.87,6986415,3820660771.05,,63
SPY,03/03/2024,518.49,6953200,3605164668.0,,63
SPY,03/03/2024,545.43,6884435,3754977382.0499997,,62
SPY,03/03/2024,519.82,6839351,3555231436.82,,62
SPY,03/03/2024,521.41,6781602,3535995098.8199997,,61
SPY,03/03/2024,650.26,6692000,4351539920.0,,60
SPY,03/03/2024,499.58,6593695,3294078148.1,,60
SPY,03/03/2024,525.84,6321013,3323841475.92,,57
SPY,03/03/2024,559.52,6085616,3405023864.3199997,,55
SPY,03/03/2024,599.49,5936000,3558572640.0,,54
SPY,03/03/2024,522.72,5795800,3029580576.0,,52
SPY,03/03/2024,563.84,5688944,3207654184.96,,51
SPY,03/03/2024,512.87,5643598,2894432106.26,,51
SPY,03/03/2024,590.51,5638689,3329702241.39,,51
SPY,03/03/2024,601.22,5632580,3386419747.6000004,,51
SPY,03/03/2024,523.49,5596869,2929904952.81,,51
WDAY,03/03/2024,273.04,11383325,3108103058.0,,100
WPM,03/03/2024,63.81,4619225,294752747.25,,100
WPM,03/03/2024,48.13,3000000,144390000.0,,65
XOM,03/03/2024,116.69,8218340,958998094.6,,100
XOM,03/03/2024,115.27,6063323,698919242.2099999,,74
XOM,03/03/2024,111.92,5785485,647511481.2,,70
XOM,03/03/2024,105.44,5639451,594623713.4399999,,69
XOM,03/03/2024,149.93,5256249,788069412.57,,64
XOM,03/03/2024,114.14,5088678,580821706.92,,62
XOM,03/03/2024,105.35,4713358,496552265.29999995,,57
XOM,03/03/2024,102.30,4246223,434388612.9,,52
XOM,03/03/2024,114.90,4241023,487293542.70000005,,52
XOM,03/03/2024,105.87,4162995,440736280.65000004,,51
