ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
AMD,02/25/2024,96.39,7001878,674911020.42,,100
AMD,02/25/2024,159.92,5833442,932884044.64,,83
AMD,02/25/2024,100.59,5460762,549298049.58,,78
AMD,02/25/2024,119.21,5363287,639357443.27,,77
AMD,02/25/2024,213.43,5302779,1131772121.97,,76
AMD,02/25/2024,148.60,4575936,679984089.6,,65
AMD,02/25/2024,165.47,4200000,694974000.0,,60
AMD,02/25/2024,101.13,4000000,404520000.0,,57
AVGO,02/25/2024,340.36,38624907,13146373346.52,,100
COIN,02/25/2024,266.46,8969991,2390143801.8599997,,100
CORZ,02/25/2024,9.98,7188500,71741230.0,,100
CORZ,02/25/2024,10.00,4586346,45863460.0,,64
CRCL,02/25/2024,70.95,1200000,85140000.0,,100
CRCL,02/25/2024,82.00,1132046,92827772.0,,94
CRCL,02/25/2024,128.00,950000,121600000.0,,79
CRCL,02/25/2024,86.21,747300,64424732.99999999,,62
CRCL,02/25/2024,83.14,743243,61793223.02,,62
CRCL,02/25/2024,84.65,698000,59085700.00000001,,58
CRCL,02/25/2024,85.93,698000,59979140.00000001,,58
CRCL,02/25/2024,81.89,622424,50970301.36,,52
CYTK,02/25/2024,65.19,7769301,506480732.19,,100
EUFN,02/25/2024,37.07,8103801,300407903.07,,100
EUFN,02/25/2024,26.71,5937652,158594684.92000002,,73
EUFN,02/25/2024,30.61,4493324,137540647.64,,55
EUFN,02/25/2024,23.98,4082883,97907534.34,,50
EUFN,02/25/2024,30.66,4027989,123498142.74,,50
EWZ,02/25/2024,31.60,15310000,483796000.0,,100
EWZ,02/25/2024,31.00,11500000,356500000.0,,75
EWZ,02/25/2024,31.17,10476500,326552505.0,,68
EWZ,02/25/2024,32.78,10256319,336202136.82,,67
EWZ,02/25/2024,33.58,10221000,343221180.0,,67
EWZ,02/25/2024,32.09,7926778,254370306.02000004,,52
EWZ,02/25/2024,29.75,7628627,226951653.25,,50
IGV,02/25/2024,84.25,6946357,585230577.25,,100
IGV,02/25/2024,91.65,6175071,565945257.15,,89
IGV,02/25/2024,102.69,5000000,513450000.0,,72
IGV,02/25/2024,103.39,3607600,372989764.0,,52
IGV,02/25/2024,80.60,3500000,282100000.0,,50
IGV,02/25/2024,79.57,3500000,278495000.0,,50
MSFT,02/25/2024,485.92,14407283,7000786955.360001,,100
NVDA,02/25/2024,126.57,100069019,12665735734.83,,100
SGML,02/25/2024,15.55,4126552,64167883.6,,100
SNDK,02/25/2024,215.04,4811294,1034620661.76,,100
SOXX,02/25/2024,200.85,1194921,239999882.85,,100
SOXX,02/25/2024,316.33,1012396,320251226.68,,85
SOXX,02/25/2024,248.87,900000,223983000.0,,75
SOXX,02/25/2024,189.09,807617,152712298.53,,68
SOXX,02/25/2024,233.34,795000,185505300.0,,67
SOXX,02/25/2024,205.00,716751,146933955.0,,60
SOXX,02/25/2024,298.01,709915,211561769.15,,59
SOXX,02/25/2024,175.06,599449,104939541.94,,50
TEAM,02/25/2024,310.51,730800,226920708.0,,100
TEAM,02/25/2024,153.00,667167,102076551.0,,91
TEAM,02/25/2024,153.88,579438,89163919.44,,79
TEAM,02/25/2024,255.70,547500,139995750.0,,75
TEAM,02/25/2024,162.46,546000,88703160.0,,75
TEAM,02/25/2024,80.26,522670,41949494.2,,72
TEAM,02/25/2024,169.42,477422,80884835.24,,65
TEAM,02/25/2024,141.15,475000,67046250.0,,65
TEAM,02/25/2024,83.50,400000,33400000.0,,55
TEAM,02/25/2024,158.36,374494,59304869.84,,51
TSLA,02/25/2024,481.20,13066269,6287488642.8,,100
UTHR,02/25/2024,294.28,1400000,411991999.99999994,,100
VRT,02/25/2024,86.57,5058768,437937545.76,,100
VRT,02/25/2024,93.50,3504253,327647655.5,,69
