ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
ACN,02/19/2024,303.41,2353069,713944665.2900001,,100
AKAM,02/19/2024,81.00,1250000,101250000.0,,100
AKAM,02/19/2024,77.51,1207600,93601076.0,,97
AKAM,02/19/2024,80.15,1056965,84715744.75,,85
AKAM,02/19/2024,94.97,1000000,94970000.0,,80
AKAM,02/19/2024,72.80,1000000,72800000.0,,80
AKAM,02/19/2024,73.96,1000000,73960000.0,,80
AKAM,02/19/2024,84.95,1000000,84950000.0,,80
AKAM,02/19/2024,73.15,1000000,73150000.0,,80
AKAM,02/19/2024,81.47,1000000,81470000.0,,80
AKAM,02/19/2024,88.34,991890,87623562.60000001,,79
AKAM,02/19/2024,76.28,866361,66086017.08,,69
AKAM,02/19/2024,89.22,825717,73670470.74,,66
AKAM,02/19/2024,102.10,754148,76998510.8,,60
AKAM,02/19/2024,110.93,646000,71660780.0,,52
AKAM,02/19/2024,86.79,633600,54990144.00000001,,51
APLD,02/19/2024,7.36,6964542,51259029.120000005,,100
APLD,02/19/2024,8.01,3502974,28058821.74,,50
COP,02/19/2024,95.12,5768743,548722834.1600001,,100
COP,02/19/2024,91.92,4445611,408640563.12,,77
COP,02/19/2024,101.92,3373302,343806939.84000003,,58
COP,02/19/2024,98.36,2956795,290830356.2,,51
COP,02/19/2024,95.15,2910000,276886500.0,,50
FCX,02/19/2024,43.43,7499350,325696770.5,,100
FCX,02/19/2024,45.00,5393174,242692830.0,,72
FCX,02/19/2024,38.57,4620657,178218740.49,,62
FCX,02/19/2024,40.32,4007366,161576997.12,,53
FCX,02/19/2024,53.93,3936840,212313781.2,,52
FSLR,02/19/2024,143.79,1000000,143790000.0,,100
FSLR,02/19/2024,193.23,650000,125599500.0,,65
FSLR,02/19/2024,165.90,600000,99540000.0,,60
FSLR,02/19/2024,163.64,547335,89565899.39999999,,55
FSLR,02/19/2024,136.56,500000,68280000.0,,50
FSLR,02/19/2024,203.61,499900,101784639.0,,50
INTC,02/19/2024,21.00,34107198,716251158.0,,100
INTC,02/19/2024,36.82,32064225,1180604764.5,,94
INTC,02/19/2024,20.41,29383198,599711071.18,,86
INTC,02/19/2024,19.75,22437697,443144515.75,,66
INTC,02/19/2024,22.69,20058298,455122781.62,,59
INTC,02/19/2024,24.87,16953154,421624939.98,,50
JNJ,02/19/2024,206.37,6792314,1401729840.18,,100
JNJ,02/19/2024,149.79,6457907,967329889.53,,95
JNJ,02/19/2024,178.06,5259835,936566220.1,,77
JNJ,02/19/2024,144.47,3852744,556605925.68,,57
JNJ,02/19/2024,152.49,3644900,555810801.0,,54
OXY,02/19/2024,48.55,3658555,177622845.25,,100
OXY,02/19/2024,42.60,3225315,137398419.0,,88
OXY,02/19/2024,44.51,2770565,123317848.14999999,,76
OXY,02/19/2024,45.76,2571696,117680808.96,,70
OXY,02/19/2024,42.75,1984165,84823053.75,,54
OXY,02/19/2024,54.76,1887116,103338472.16,,52
SLV,02/19/2024,28.99,8956252,259641745.48,,100
SLV,02/19/2024,29.13,8000000,233040000.0,,89
SLV,02/19/2024,29.49,7040000,207609600.0,,79
SLV,02/19/2024,30.81,7000000,215670000.0,,78
SLV,02/19/2024,33.37,6150000,205225499.99999997,,69
SLV,02/19/2024,29.19,6000000,175140000.0,,67
SLV,02/19/2024,29.40,5794700,170364180.0,,65
SLV,02/19/2024,29.59,5450000,161265500.0,,61
SLV,02/19/2024,46.65,5275000,246078750.0,,59
SLV,02/19/2024,29.64,5200000,154128000.0,,58
SLV,02/19/2024,29.21,5175000,151161750.0,,58
SLV,02/19/2024,29.35,4850000,142347500.0,,54
SLV,02/19/2024,29.57,4650000,137500500.0,,52
SLV,02/19/2024,47.05,4600000,216430000.0,,51
SLV,02/19/2024,47.30,4575000,216397500.0,,51
SLV,02/19/2024,29.30,4519700,132427210.0,,50
SLV,02/19/2024,29.23,4500000,131535000.0,,50
SLV,02/19/2024,29.90,4492500,134325750.0,,50
SLV,02/19/2024,28.06,4444000,124698640.0,,50
XLE,02/19/2024,89.50,5547238,496477801.0,,100
XLE,02/19/2024,83.43,4800000,400464000.00000006,,87
XLE,02/19/2024,91.36,4522646,413188938.56,,82
XLE,02/19/2024,85.12,3586371,305271899.52000004,,65
XLE,02/19/2024,50.05,3484844,174416442.2,,63
XLE,02/19/2024,93.32,3295166,307504891.12,,59
XLE,02/19/2024,49.10,3250000,159575000.0,,59
XLE,02/19/2024,86.66,3221696,279192175.36,,58
XLE,02/19/2024,92.67,3090859,286429903.53000003,,56
XLE,02/19/2024,85.84,2790000,239493600.0,,50
XOP,02/19/2024,131.36,1072404,140870989.44000003,,100
XOP,02/19/2024,130.00,750000,97500000.0,,70
XOP,02/19/2024,108.55,730744,79322261.2,,68
XOP,02/19/2024,153.07,650000,99495500.0,,61
XOP,02/19/2024,151.59,650000,98533500.0,,61
XOP,02/19/2024,152.37,650000,99040500.0,,61
XOP,02/19/2024,125.73,640002,80467451.46000001,,60
XOP,02/19/2024,143.52,600994,86254658.88000001,,56
XOP,02/19/2024,150.68,556044,83784709.92,,52
