ticker,asof_date,level,volume,money_flow,pct_of_avg_vol,strength
BRK/B,01/01/2025,494.53,2872245,1420411319.85,,100
BRK/B,01/01/2025,468.67,2722600,1276000942.0,,95
BRK/B,01/01/2025,478.52,1512789,723899792.28,,53
DUOL,01/01/2025,185.37,300000,55611000.0,,100
DUOL,01/01/2025,471.57,258950,122113051.5,,86
DUOL,01/01/2025,337.19,193091,65108354.29,,64
EEM,01/01/2025,44.65,11177000,499053050.0,,100
EEM,01/01/2025,47.99,10500000,503895000.0,,94
EEM,01/01/2025,49.89,9500000,473955000.0,,85
EEM,01/01/2025,40.80,8647000,352797600.0,,77
EEM,01/01/2025,43.53,7637071,332441700.63,,68
EEM,01/01/2025,46.90,6300000,295470000.0,,56
EEM,01/01/2025,54.31,6075645,329968279.95,,54
EEM,01/01/2025,45.98,5843000,268661140.0,,52
EEM,01/01/2025,52.80,5787600,305585280.0,,52
NKE,01/01/2025,72.04,5944199,428220095.96000004,,100
NKE,01/01/2025,55.41,4248067,235385392.47,,71
NKE,01/01/2025,74.45,3073200,228799740.0,,52
SPY,01/01/2025,560.83,9371721,5255942288.43,,100
SPY,01/01/2025,650.26,6692000,4351539920.0,,71
SPY,01/01/2025,559.52,6085616,3405023864.3199997,,65
SPY,01/01/2025,599.49,5936000,3558572640.0,,63
