time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
09:36 AM,U,04/02/26,22,CALLS,20.22,"6,349 @ 0.82",SPLIT,$521K,520492.0,TECH,SPLIT,"6,349",True
11:02 AM,BE,03/27/26,175,CALLS,158.99,894 @ 4.90,SWEEP,$438K,438060.0,INDUS,SWEEP,894,True
09:42 AM,DAL,04/17/26,70,CALLS,64.11,915 @ 1.70,BLOCK,$156K,155550.0,DISCR,BLOCK,915,True
02:47 PM,DOCU,03/27/26,52,CALLS,47.37,"1,186 @ 1.26",SWEEP,$149K,149436.0,TECH,SWEEP,"1,186",True
09:43 AM,NVDA,04/17/26,200,CALLS,183.71,512 @ 2.29,SWEEP,$117K,117034.0,TECH,SWEEP,512,True
11:26 AM,RKLB,04/02/26,90,CALLS,76.54,609 @ 1.58,SWEEP,$96K,96222.0,ETF/N,SWEEP,609,True
03:59 PM,RKLB,04/17/26,100,CALLS,78.61,533 @ 1.80,SWEEP,$96K,95940.0,ETF/N,SWEEP,533,True
09:31 AM,ASTS,03/20/26,100,CALLS,91.82,600 @ 1.35,SWEEP,$81K,81000.0,ETF/N,SWEEP,600,True
11:14 AM,APLD,03/27/26,30,CALLS,27.28,945 @ 0.85,SWEEP,$80K,80325.0,ETF/N,SWEEP,945,True
10:06 AM,JOBY,04/17/26,11,CALLS,9.90,"1,211 @ 0.46",SWEEP,$56K,55706.0,ETF/N,SWEEP,"1,211",True
10:43 AM,USAR,03/20/26,22,CALLS,20.09,"2,089 @ 0.22",SWEEP,$46K,45958.0,ETF/N,SWEEP,"2,089",True
11:01 AM,EQNR,04/17/26,40,CALLS,36.85,597 @ 0.75,SWEEP,$45K,44671.0,ENERG,SWEEP,597,True
09:43 AM,U,03/27/26,22,CALLS,20.46,722 @ 0.57,BLOCK,$41K,41154.0,TECH,BLOCK,722,True
01:31 PM,SOFI,03/20/26,19,CALLS,17.57,"3,872 @ 0.10",SWEEP,$39K,38720.0,FINS,SWEEP,"3,872",True
10:40 AM,LAC,04/17/26,5,CALLS,4.46,"1,508 @ 0.25",SWEEP,$38K,37700.0,MAT,SWEEP,"1,508",True
10:05 AM,GME,03/27/26,26.5,CALLS,23.65,"1,691 @ 0.21",SWEEP,$36K,35502.0,DISCR,SWEEP,"1,691",True
09:50 AM,EOSE,04/10/26,6,CALLS,5.58,705 @ 0.49,SWEEP,$35K,34523.0,INDUS,SWEEP,705,True
09:50 AM,THRY,04/17/26,5,CALLS,2.81,"2,293 @ 0.15",SWEEP,$34K,34372.0,ETF/N,SWEEP,"2,293",True
09:47 AM,BABA,03/20/26,150,CALLS,138.10,399 @ 0.85,SWEEP,$34K,33915.0,DISCR,SWEEP,399,True
02:38 PM,PYPL,04/17/26,52.5,CALLS,46.23,668 @ 0.42,SWEEP,$28K,28036.0,FINS,SWEEP,668,True
11:11 AM,OPEN,04/02/26,6.5,CALLS,5.49,"1,937 @ 0.14",SWEEP,$27K,27118.0,FINS,SWEEP,"1,937",True
10:40 AM,LAC,04/17/26,5,CALLS,4.49,900 @ 0.26,SWEEP,$23K,23400.0,MAT,SWEEP,900,True
12:03 PM,RCAT,03/20/26,18,CALLS,15.96,500 @ 0.42,BLOCK,$21K,21000.0,ETF/N,BLOCK,500,True
11:20 AM,LAC,04/17/26,5,CALLS,4.50,750 @ 0.28,SPLIT,$21K,21000.0,MAT,SPLIT,750,True
09:42 AM,BW,03/20/26,15,CALLS,13.27,995 @ 0.20,SWEEP,$20K,19900.0,INDUS,SWEEP,995,True
10:38 AM,LAC,04/17/26,5,CALLS,4.46,750 @ 0.24,SWEEP,$18K,18000.0,MAT,SWEEP,750,True
10:47 AM,LAC,04/17/26,5,CALLS,4.53,500 @ 0.30,SWEEP,$15K,15000.0,MAT,SWEEP,500,True
10:41 AM,LAC,04/17/26,5,CALLS,4.50,500 @ 0.27,SWEEP,$14K,13500.0,MAT,SWEEP,500,True
10:52 AM,PROP,04/17/26,2.5,CALLS,1.74,500 @ 0.20,SWEEP,$10K,10000.0,ETF/N,SWEEP,500,True
