time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
09:54 AM,ORCL,03/13/26,167.5,CALLS,150.19,"2,999 @ 2.50",BLOCK,$750K,749750.0,TECH,BLOCK,"2,999",True
09:51 AM,NBIS,04/10/26,110,CALLS,97.05,"1,107 @ 5.30",SWEEP,$587K,586638.0,ETF/N,SWEEP,"1,107",True
01:17 PM,LQDA,03/27/26,42,CALLS,37.73,"1,942 @ 2.95",BLOCK,$573K,572890.0,HLTH,BLOCK,"1,942",True
11:52 AM,TTAN,03/20/26,85,CALLS,78.71,"1,997 @ 2.80",BLOCK,$559K,559160.0,ETF/N,BLOCK,"1,997",True
10:08 AM,RKLB,03/27/26,85,CALLS,71.39,"2,207 @ 1.82",SWEEP,$402K,401674.0,ETF/N,SWEEP,"2,207",True
11:05 AM,CRWV,03/20/26,82,CALLS,75.74,"1,280 @ 2.65",SWEEP,$339K,339197.0,ETF/N,SWEEP,"1,280",True
02:20 PM,USO,03/13/26,120,CALLS,104.29,"1,000 @ 2.80",BLOCK,$280K,280000.0,ETF/N,BLOCK,"1,000",True
09:31 AM,USO,03/18/26,118,CALLS,106.05,502 @ 5.50,SWEEP,$276K,276100.0,ETF/N,SWEEP,502,True
09:59 AM,BE,03/13/26,170,CALLS,156.48,743 @ 3.10,SWEEP,$230K,230259.0,INDUS,SWEEP,743,True
09:49 AM,ORCL,03/13/26,170,CALLS,150.41,"1,000 @ 2.10",SPLIT,$210K,210000.0,TECH,SPLIT,"1,000",True
11:07 AM,NBIS,03/27/26,118,CALLS,97.34,"1,148 @ 1.71",SWEEP,$196K,196308.0,ETF/N,SWEEP,"1,148",True
10:09 AM,FCX,03/27/26,67,CALLS,61.20,"1,699 @ 1.13",BLOCK,$192K,191987.0,MAT,BLOCK,"1,699",True
11:13 AM,LRCX,03/27/26,245,CALLS,218.50,509 @ 3.45,SWEEP,$176K,175554.0,TECH,SWEEP,509,True
10:19 AM,IREN,03/27/26,50,CALLS,39.09,"1,792 @ 0.74",SWEEP,$133K,132608.0,ETF/N,SWEEP,"1,792",True
09:52 AM,RKLB,03/20/26,80,CALLS,71.08,500 @ 1.68,BLOCK,$84K,84000.0,ETF/N,BLOCK,500,True
