time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
03:31 PM,CORZ,01/30/26,16,CALLS,14.47,"6,000 @ 0.82",BLOCK,$492K,492000.0,ETF/N,BLOCK,"6,000",True
02:48 PM,INTC,01/16/26,40,CALLS,36.90,"3,890 @ 0.51",SWEEP,$198K,198380.0,TECH,SWEEP,"3,890",True
11:04 AM,CYTK,01/16/26,75,CALLS,63.84,"2,500 @ 0.70",BLOCK,$175K,175000.0,HLTH,BLOCK,"2,500",True
09:53 AM,AMD,01/23/26,240,CALLS,217.00,501 @ 2.61,SWEEP,$131K,130761.0,TECH,SWEEP,501,True
09:39 AM,MSTR,01/16/26,180,CALLS,156.08,539 @ 2.00,BLOCK,$108K,107800.0,TECH,BLOCK,539,True
09:53 AM,SMCI,01/16/26,32,CALLS,29.52,"1,700 @ 0.61",BLOCK,$104K,103700.0,TECH,BLOCK,"1,700",True
02:28 PM,UEC,01/30/26,15,CALLS,11.69,"4,000 @ 0.25",SWEEP,$100K,99990.0,MAT,SWEEP,"4,000",True
02:48 PM,SOFI,01/30/26,30,CALLS,26.21,"1,561 @ 0.58",SWEEP,$91K,90538.0,FINS,SWEEP,"1,561",True
01:09 PM,MBLY,01/16/26,12,CALLS,10.59,"4,704 @ 0.16",BLOCK,$75K,75264.0,ETF/N,BLOCK,"4,704",True
11:08 AM,PAAS,01/30/26,60,CALLS,52.37,550 @ 1.30,SWEEP,$72K,71500.0,MAT,SWEEP,550,True
12:43 PM,RR,01/09/26,4,CALLS,3.29,"5,045 @ 0.14",SWEEP,$71K,70630.0,ETF/N,SWEEP,"5,045",True
10:27 AM,ETSY,01/16/26,60,CALLS,55.81,"1,002 @ 0.68",SWEEP,$68K,67630.0,DISCR,SWEEP,"1,002",True
03:56 PM,SOC,01/09/26,10.5,CALLS,8.57,"1,185 @ 0.55",SWEEP,$65K,65112.0,ETF/N,SWEEP,"1,185",True
11:30 AM,RR,01/16/26,3.5,CALLS,3.17,"2,063 @ 0.27",SWEEP,$56K,55701.0,ETF/N,SWEEP,"2,063",True
10:35 AM,KDK,01/16/26,12.5,CALLS,10.88,"3,509 @ 0.15",SWEEP,$53K,52635.0,ETF/N,SWEEP,"3,509",True
11:47 AM,PGY,01/16/26,23,CALLS,20.92,611 @ 0.65,BLOCK,$40K,39715.0,ETF/N,BLOCK,611,True
10:47 AM,TE,01/30/26,8,CALLS,7.08,660 @ 0.60,BLOCK,$40K,39600.0,ETF/N,BLOCK,660,True
10:42 AM,ONDS,01/09/26,12,CALLS,10.15,"1,559 @ 0.25",SWEEP,$39K,38975.0,TECH,SWEEP,"1,559",True
10:30 AM,ONDS,01/09/26,12,CALLS,9.88,"2,507 @ 0.15",SWEEP,$38K,37605.0,TECH,SWEEP,"2,507",True
12:23 PM,ONDS,01/30/26,12,CALLS,10.20,500 @ 0.75,SWEEP,$38K,37500.0,TECH,SWEEP,500,True
11:07 AM,ONDS,01/30/26,12,CALLS,10.04,500 @ 0.70,SWEEP,$35K,35000.0,TECH,SWEEP,500,True
12:26 PM,RR,01/09/26,3.5,CALLS,3.21,"1,798 @ 0.19",SWEEP,$34K,34162.0,ETF/N,SWEEP,"1,798",True
01:24 PM,RGTI,01/09/26,25,CALLS,22.39,923 @ 0.36,BLOCK,$33K,33228.0,ETF/N,BLOCK,923,True
02:49 PM,TE,01/30/26,8,CALLS,6.69,660 @ 0.50,BLOCK,$33K,33000.0,ETF/N,BLOCK,660,True
12:43 PM,RR,01/09/26,4,CALLS,3.29,"2,145 @ 0.15",SWEEP,$32K,32175.0,ETF/N,SWEEP,"2,145",True
10:44 AM,DPRO,01/16/26,7.5,CALLS,6.88,859 @ 0.35,SWEEP,$30K,30043.0,ETF/N,SWEEP,859,True
11:35 AM,RR,01/16/26,4.5,CALLS,3.27,"2,000 @ 0.15",SWEEP,$30K,30000.0,ETF/N,SWEEP,"2,000",True
11:33 AM,RR,01/16/26,3.5,CALLS,3.23,950 @ 0.30,SWEEP,$29K,28500.0,ETF/N,SWEEP,950,True
01:17 PM,RR,01/09/26,4,CALLS,3.31,"1,483 @ 0.19",BLOCK,$28K,28177.0,ETF/N,BLOCK,"1,483",True
02:28 PM,UEC,01/30/26,15,CALLS,11.75,998 @ 0.25,SWEEP,$25K,24950.0,MAT,SWEEP,998,True
11:25 AM,RR,01/16/26,3.5,CALLS,3.12,"1,000 @ 0.21",SWEEP,$21K,21000.0,ETF/N,SWEEP,"1,000",True
10:33 AM,ONDS,01/09/26,12,CALLS,10.12,809 @ 0.25,BLOCK,$20K,20225.0,TECH,BLOCK,809,True
12:53 PM,LBRT,01/16/26,20,CALLS,18.52,500 @ 0.35,SPLIT,$18K,17456.0,ENERG,SPLIT,500,True
01:04 PM,AQST,01/16/26,7,CALLS,6.42,599 @ 0.25,SWEEP,$15K,14975.0,HLTH,SWEEP,599,True
11:35 AM,RR,01/16/26,4.5,CALLS,3.25,899 @ 0.14,SWEEP,$13K,12586.0,ETF/N,SWEEP,899,True
10:39 AM,ONDS,01/09/26,12,CALLS,10.22,501 @ 0.25,SWEEP,$13K,12525.0,TECH,SWEEP,501,True
12:12 PM,ONDS,01/09/26,12,CALLS,9.96,500 @ 0.25,SWEEP,$13K,12500.0,TECH,SWEEP,500,True
12:20 PM,OPEN,01/16/26,7,CALLS,5.96,"1,000 @ 0.11",SWEEP,$11K,11000.0,FINS,SWEEP,"1,000",True
02:19 PM,RR,01/16/26,5,CALLS,3.27,915 @ 0.12,BLOCK,$11K,10980.0,ETF/N,BLOCK,915,True
