time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
09:38 AM,BABA,03/20/26,170,CALLS,154.84,"5,000 @ 4.25",SWEEP,$2.1M,2124797.0,DISCR,SWEEP,"5,000",True
09:36 AM,IGV,03/20/26,88,CALLS,81.44,"10,500 @ 1.80",BLOCK,$1.9M,1890000.0,ETF/N,BLOCK,"10,500",True
09:39 AM,BABA,03/20/26,170,CALLS,155.76,"3,408 @ 4.50",SWEEP,$1.5M,1533071.0,DISCR,SWEEP,"3,408",True
11:39 AM,LYV,03/20/26,175,CALLS,158.84,"1,400 @ 3.55",SPLIT,$497K,497000.0,DISCR,SPLIT,"1,400",True
09:39 AM,NVDA,03/20/26,200,CALLS,184.38,826 @ 5.60,BLOCK,$463K,462560.0,TECH,BLOCK,826,True
10:16 AM,GOOGL,03/20/26,340,CALLS,306.35,"1,196 @ 2.24",SWEEP,$268K,268140.0,TECH,SWEEP,"1,196",True
12:14 PM,USAR,03/20/26,22,CALLS,19.89,987 @ 2.01,SWEEP,$198K,198387.0,ETF/N,SWEEP,987,True
11:06 AM,FSLY,03/20/26,20,CALLS,17.88,"1,501 @ 1.19",SWEEP,$178K,178284.0,TECH,SWEEP,"1,501",True
09:48 AM,NVDA,03/06/26,200,CALLS,185.90,450 @ 3.75,SWEEP,$169K,168750.0,TECH,SWEEP,450,True
09:43 AM,MRVL,03/13/26,89,CALLS,78.46,590 @ 2.85,SWEEP,$168K,168150.0,TECH,SWEEP,590,True
10:52 AM,CIFR,03/20/26,21,CALLS,17.05,920 @ 1.27,SWEEP,$117K,116827.0,ETF/N,SWEEP,920,True
10:34 AM,NVDA,03/06/26,205,CALLS,184.91,500 @ 2.30,SWEEP,$115K,115000.0,TECH,SWEEP,500,True
10:34 AM,NVDA,03/06/26,205,CALLS,184.94,500 @ 2.29,SWEEP,$115K,114500.0,TECH,SWEEP,500,True
10:25 AM,RGTI,03/06/26,18,CALLS,15.43,"1,236 @ 0.79",SWEEP,$98K,97843.0,ETF/N,SWEEP,"1,236",True
02:24 PM,COIN,02/20/26,180,CALLS,167.01,508 @ 1.83,SWEEP,$93K,93177.0,FINS,SWEEP,508,True
09:54 AM,AMZN,03/20/26,220,CALLS,198.99,487 @ 1.88,BLOCK,$92K,91556.0,DISCR,BLOCK,487,True
11:30 AM,EOSE,03/20/26,15,CALLS,11.35,"1,000 @ 0.79",SWEEP,$79K,78755.0,INDUS,SWEEP,"1,000",True
12:34 PM,CRML,03/20/26,12.5,CALLS,9.96,"1,000 @ 0.77",BLOCK,$77K,77000.0,ETF/N,BLOCK,"1,000",True
