time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
09:53 AM,CORZ,04/17/26,20,CALLS,17.46,"6,518 @ 0.56",SWEEP,$365K,365008.0,ETF/N,SWEEP,"6,518",True
11:00 AM,OKLO,04/24/26,62,CALLS,56.65,927 @ 3.50,SWEEP,$324K,324383.0,ETF/N,SWEEP,927,True
10:07 AM,WULF,04/17/26,19,CALLS,17.31,"2,633 @ 1.06",SWEEP,$279K,279098.0,ETF/N,SWEEP,"2,633",True
09:46 AM,DELL,04/17/26,210,CALLS,182.44,"1,340 @ 1.90",SWEEP,$255K,254600.0,TECH,SWEEP,"1,340",True
11:33 AM,CLF,04/17/26,10,CALLS,8.37,"14,950 @ 0.16",BLOCK,$239K,239200.0,MAT,BLOCK,"14,950",True
09:55 AM,TTD,04/17/26,25,CALLS,22.57,"3,984 @ 0.60",SWEEP,$239K,239040.0,TECH,SWEEP,"3,984",True
11:51 AM,AA,04/17/26,63,CALLS,58.45,779 @ 2.65,SPLIT,$206K,206435.0,MAT,SPLIT,779,True
10:31 AM,CDE,04/17/26,21,CALLS,18.18,"3,000 @ 0.65",BLOCK,$195K,195000.0,MAT,BLOCK,"3,000",True
03:53 PM,RIOT,04/17/26,17.5,CALLS,15.15,"2,701 @ 0.54",SWEEP,$146K,145854.0,HLTH,SWEEP,"2,701",True
10:42 AM,PL,04/17/26,40,CALLS,36.08,592 @ 2.40,SWEEP,$142K,142068.0,ETF/N,SWEEP,592,True
11:14 AM,WULF,04/24/26,19.5,CALLS,17.23,"1,106 @ 1.16",SWEEP,$128K,128230.0,ETF/N,SWEEP,"1,106",True
09:57 AM,FRMI,04/02/26,9,CALLS,7.17,"4,211 @ 0.30",SWEEP,$126K,126159.0,ETF/N,SWEEP,"4,211",True
09:49 AM,LUNR,04/02/26,22,CALLS,20.30,"1,035 @ 1.02",SWEEP,$106K,105569.0,ETF/N,SWEEP,"1,035",True
10:18 AM,RKLB,04/10/26,85,CALLS,74.26,500 @ 2.10,SWEEP,$105K,105000.0,ETF/N,SWEEP,500,True
10:47 AM,AKAM,04/17/26,130,CALLS,119.93,545 @ 1.90,SWEEP,$104K,103549.0,TECH,SWEEP,545,True
10:02 AM,CRWV,04/17/26,105,CALLS,87.64,500 @ 2.00,BLOCK,$100K,100000.0,ETF/N,BLOCK,500,True
09:49 AM,CORZ,04/17/26,20,CALLS,17.30,"1,875 @ 0.51",BLOCK,$96K,95625.0,ETF/N,BLOCK,"1,875",True
02:21 PM,LULU,04/17/26,175,CALLS,158.99,500 @ 1.84,BLOCK,$92K,92000.0,DISCR,BLOCK,500,True
10:09 AM,WULF,04/17/26,19,CALLS,17.45,804 @ 1.10,SPLIT,$88K,88440.0,ETF/N,SPLIT,804,True
03:04 PM,BMNR,04/10/26,23,CALLS,20.84,"1,200 @ 0.73",BLOCK,$88K,87600.0,ETF/N,BLOCK,"1,200",True
10:15 AM,WULF,04/24/26,21,CALLS,17.64,775 @ 0.84,BLOCK,$65K,65100.0,ETF/N,BLOCK,775,True
03:59 PM,FRMI,04/02/26,10,CALLS,6.66,"2,863 @ 0.20",SWEEP,$57K,57259.0,ETF/N,SWEEP,"2,863",True
12:15 PM,SMR,04/24/26,13,CALLS,11.65,643 @ 0.78,SWEEP,$50K,50154.0,ETF/N,SWEEP,643,True
02:37 PM,FRMI,04/02/26,9.5,CALLS,6.86,"2,241 @ 0.20",SWEEP,$45K,44581.0,ETF/N,SWEEP,"2,241",True
11:31 AM,SOLZ,04/17/26,10,CALLS,9.29,"1,000 @ 0.44",SPLIT,$44K,44000.0,ETF/N,SPLIT,"1,000",True
09:33 AM,BCS,04/17/26,23,CALLS,21.39,"1,000 @ 0.40",SWEEP,$40K,39990.0,FINS,SWEEP,"1,000",True
11:38 AM,WULF,04/17/26,20,CALLS,16.95,500 @ 0.67,SPLIT,$34K,33500.0,ETF/N,SPLIT,500,True
12:37 PM,INTC,04/02/26,52,CALLS,47.64,750 @ 0.43,BLOCK,$32K,32250.0,TECH,BLOCK,750,True
11:31 AM,SOLZ,04/17/26,10,CALLS,9.29,700 @ 0.45,SPLIT,$32K,31500.0,ETF/N,SPLIT,700,True
10:00 AM,FRMI,04/02/26,9,CALLS,7.26,816 @ 0.35,SWEEP,$29K,28560.0,ETF/N,SWEEP,816,True
10:37 AM,OSCR,04/17/26,14,CALLS,12.09,921 @ 0.27,SWEEP,$25K,24867.0,ETF/N,SWEEP,921,True
09:54 AM,HIMS,03/27/26,23.5,CALLS,21.57,"1,616 @ 0.14",SWEEP,$23K,22624.0,HLTH,SWEEP,"1,616",True
09:33 AM,OKLO,03/27/26,61,CALLS,56.12,500 @ 0.36,BLOCK,$18K,18000.0,ETF/N,BLOCK,500,True
10:33 AM,SMCI,03/27/26,26,CALLS,23.98,943 @ 0.18,SWEEP,$17K,16974.0,TECH,SWEEP,943,True
12:31 PM,JBLU,04/24/26,5,CALLS,4.36,920 @ 0.15,SPLIT,$14K,13800.0,DISCR,SPLIT,920,True
10:28 AM,SPCE,04/17/26,3,CALLS,2.62,701 @ 0.15,SWEEP,$11K,10515.0,INDUS,SWEEP,701,True
12:33 PM,JBLU,03/27/26,5,CALLS,4.63,"1,000 @ 0.10",BLOCK,$10K,10000.0,DISCR,BLOCK,"1,000",True
