time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
11:24 AM,VSAT,03/20/26,50,CALLS,46.08,"1,182 @ 2.80",SPLIT,$331K,330960.0,TECH,SPLIT,"1,182",True
02:53 PM,CORZ,03/20/26,20,CALLS,17.07,"2,913 @ 1.05",SWEEP,$306K,305865.0,ETF/N,SWEEP,"2,913",True
11:20 AM,ESTC,03/20/26,75,CALLS,62.91,"1,000 @ 2.92",BLOCK,$292K,292000.0,TECH,BLOCK,"1,000",True
10:30 AM,AXTI,03/20/26,40,CALLS,29.80,"1,133 @ 2.00",SWEEP,$227K,226600.0,TECH,SWEEP,"1,133",True
03:29 PM,ORCL,03/20/26,180,CALLS,147.66,555 @ 2.94,SPLIT,$163K,163213.0,TECH,SPLIT,555,True
03:59 PM,TSLA,03/20/26,450,CALLS,411.79,297 @ 5.40,BLOCK,$160K,160380.0,CONST,BLOCK,297,True
10:42 AM,NFLX,03/20/26,85,CALLS,77.58,"1,616 @ 0.96",SWEEP,$155K,155136.0,DISCR,SWEEP,"1,616",True
03:34 PM,BRZE,03/20/26,20,CALLS,16.89,"2,000 @ 0.77",SPLIT,$154K,154000.0,ETF/N,SPLIT,"2,000",True
10:02 AM,FIGR,03/20/26,40,CALLS,31.45,700 @ 1.61,SWEEP,$113K,112452.0,ETF/N,SWEEP,700,True
12:43 PM,REAL,03/20/26,12.5,CALLS,11.00,"1,385 @ 0.80",SWEEP,$111K,110800.0,DISCR,SWEEP,"1,385",True
11:33 AM,BBIO,03/20/26,80,CALLS,69.40,558 @ 1.75,SWEEP,$98K,97647.0,HLTH,SWEEP,558,True
12:23 PM,FLNC,03/20/26,19,CALLS,16.32,807 @ 1.00,SWEEP,$81K,80700.0,ETF/N,SWEEP,807,True
03:43 PM,FLY,03/06/26,25,CALLS,20.05,771 @ 1.00,SWEEP,$77K,77100.0,INDUS,SWEEP,771,True
02:52 PM,RKLB,02/27/26,80,CALLS,70.25,500 @ 1.52,SWEEP,$76K,76000.0,ETF/N,SWEEP,500,True
10:30 AM,PRGS,03/20/26,45,CALLS,38.57,"1,000 @ 0.74",BLOCK,$74K,74000.0,TECH,BLOCK,"1,000",True
12:05 PM,AAOI,02/27/26,65,CALLS,52.07,499 @ 1.37,BLOCK,$68K,68363.0,TECH,BLOCK,499,True
10:04 AM,BRZE,03/20/26,20,CALLS,18.01,540 @ 1.00,BLOCK,$54K,54000.0,ETF/N,BLOCK,540,True
10:26 AM,FLNC,03/20/26,23,CALLS,16.42,750 @ 0.54,SWEEP,$40K,40103.0,ETF/N,SWEEP,750,True
02:52 PM,EOSE,02/27/26,12,CALLS,10.68,844 @ 0.47,BLOCK,$40K,39668.0,INDUS,BLOCK,844,True
02:13 PM,QS,03/27/26,8,CALLS,7.01,"1,000 @ 0.37",SWEEP,$37K,37000.0,CONST,SWEEP,"1,000",True
03:53 PM,FSLY,02/27/26,20,CALLS,18.02,"1,000 @ 0.35",SWEEP,$35K,35000.0,TECH,SWEEP,"1,000",True
01:01 PM,SARO,03/20/26,35,CALLS,31.70,643 @ 0.54,SWEEP,$35K,34965.0,ETF/N,SWEEP,643,True
10:05 AM,THRY,03/20/26,5,CALLS,4.03,500 @ 0.67,SPLIT,$34K,33470.0,ETF/N,SPLIT,500,True
12:38 PM,ONDS,03/20/26,15,CALLS,10.02,"1,037 @ 0.31",BLOCK,$32K,32147.0,TECH,BLOCK,"1,037",True
10:04 AM,RXT,03/20/26,2,CALLS,1.70,727 @ 0.44,BLOCK,$32K,31988.0,TECH,BLOCK,727,True
10:36 AM,SMCI,03/20/26,40,CALLS,32.62,500 @ 0.53,SPLIT,$27K,26500.0,TECH,SPLIT,500,True
10:01 AM,RXT,03/20/26,2,CALLS,1.72,513 @ 0.50,BLOCK,$26K,25650.0,TECH,BLOCK,513,True
11:38 AM,INTC,03/20/26,52.5,CALLS,43.48,500 @ 0.51,SWEEP,$26K,25500.0,TECH,SWEEP,500,True
11:29 AM,EOSE,03/20/26,15,CALLS,11.04,500 @ 0.50,BLOCK,$25K,25000.0,INDUS,BLOCK,500,True
10:27 AM,FLNC,03/20/26,23,CALLS,16.59,500 @ 0.50,SWEEP,$25K,25000.0,ETF/N,SWEEP,500,True
10:52 AM,NIO,03/27/26,6,CALLS,4.97,"1,663 @ 0.12",SWEEP,$20K,19956.0,CONST,SWEEP,"1,663",True
01:20 PM,QS,03/27/26,8,CALLS,6.93,500 @ 0.35,SPLIT,$17K,17390.0,CONST,SPLIT,500,True
02:02 PM,VG,03/20/26,12.5,CALLS,9.71,500 @ 0.30,BLOCK,$15K,15000.0,TECH,BLOCK,500,True
03:55 PM,TENB,03/20/26,24,CALLS,19.93,570 @ 0.25,SWEEP,$14K,14250.0,TECH,SWEEP,570,True
