time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
12:59 PM,GLXY,03/20/26,22.5,CALLS,20.81,"8,800 @ 1.12",BLOCK,$986K,985600.0,ETF/N,BLOCK,"8,800",True
12:34 PM,IBM,03/20/26,260,CALLS,240.81,"4,500 @ 2.05",BLOCK,$923K,922500.0,TECH,BLOCK,"4,500",True
11:08 AM,UAL,03/13/26,111,CALLS,100.19,"5,000 @ 1.15",BLOCK,$575K,575000.0,DISCR,BLOCK,"5,000",True
11:08 AM,UAL,03/13/26,111,CALLS,99.70,"5,000 @ 1.11",BLOCK,$555K,555000.0,DISCR,BLOCK,"5,000",True
10:44 AM,CVNA,03/20/26,350,CALLS,303.39,996 @ 5.10,BLOCK,$508K,507960.0,DISCR,BLOCK,996,True
10:29 AM,CVNA,03/20/26,350,CALLS,301.17,927 @ 5.20,BLOCK,$482K,482040.0,DISCR,BLOCK,927,True
10:47 AM,AAOI,03/27/26,100,CALLS,87.26,359 @ 8.80,SWEEP,$316K,315800.0,TECH,SWEEP,359,True
11:16 AM,CRCL,03/13/26,110,CALLS,99.21,844 @ 2.78,BLOCK,$235K,234632.0,ETF/N,BLOCK,844,True
11:54 AM,ASTS,03/20/26,110,CALLS,94.75,500 @ 4.50,BLOCK,$225K,225000.0,ETF/N,BLOCK,500,True
12:36 PM,RKLB,03/20/26,80,CALLS,71.66,658 @ 3.25,SWEEP,$214K,213749.0,ETF/N,SWEEP,658,True
12:47 PM,COIN,03/06/26,197.5,CALLS,181.59,"1,999 @ 1.06",SWEEP,$212K,211894.0,FINS,SWEEP,"1,999",True
11:25 AM,NEM,03/20/26,135,CALLS,119.05,"1,269 @ 1.64",SWEEP,$208K,208116.0,MAT,SWEEP,"1,269",True
10:48 AM,NVT,03/20/26,125,CALLS,111.43,865 @ 1.90,BLOCK,$164K,164350.0,INDUS,BLOCK,865,True
02:38 PM,SLV,03/13/26,85,CALLS,75.00,948 @ 1.43,BLOCK,$136K,135564.0,ETF/N,BLOCK,948,True
10:31 AM,DINO,03/20/26,60,CALLS,53.09,"2,473 @ 0.50",SWEEP,$124K,123626.0,ETF/N,SWEEP,"2,473",True
10:49 AM,SMCI,04/02/26,33,CALLS,29.82,678 @ 1.45,BLOCK,$98K,98310.0,TECH,BLOCK,678,True
10:55 AM,HMY,03/20/26,23,CALLS,20.30,"2,000 @ 0.49",SWEEP,$98K,98190.0,MAT,SWEEP,"2,000",True
02:49 PM,TECK,03/06/26,60,CALLS,55.38,"2,000 @ 0.45",BLOCK,$90K,90000.0,MAT,BLOCK,"2,000",True
02:55 PM,BE,03/06/26,172.5,CALLS,154.03,500 @ 1.70,SWEEP,$85K,84823.0,INDUS,SWEEP,500,True
11:04 AM,AAL,03/13/26,13,CALLS,11.93,"4,224 @ 0.19",SWEEP,$80K,80256.0,DISCR,SWEEP,"4,224",True
03:46 PM,FIGR,03/06/26,31,CALLS,28.73,"1,000 @ 0.79",SPLIT,$79K,78758.0,ETF/N,SPLIT,"1,000",True
10:59 AM,IAG,03/20/26,25,CALLS,22.33,"1,500 @ 0.48",SPLIT,$72K,72203.0,MAT,SPLIT,"1,500",True
10:45 AM,WULF,03/20/26,16.5,CALLS,14.67,992 @ 0.72,SPLIT,$71K,71424.0,ETF/N,SPLIT,992,True
11:46 AM,GTLB,03/06/26,30,CALLS,26.61,799 @ 0.80,SWEEP,$64K,63880.0,ETF/N,SWEEP,799,True
11:09 AM,IREN,03/20/26,48.5,CALLS,38.79,658 @ 0.97,SWEEP,$64K,63826.0,ETF/N,SWEEP,658,True
10:34 AM,DHT,03/20/26,20,CALLS,18.36,"1,000 @ 0.60",SWEEP,$60K,59976.0,INDUS,SWEEP,"1,000",True
11:10 AM,CRWV,03/06/26,78,CALLS,71.76,536 @ 1.11,BLOCK,$60K,59496.0,ETF/N,BLOCK,536,True
10:35 AM,RCAT,03/06/26,16,CALLS,14.87,"1,000 @ 0.58",SWEEP,$58K,58000.0,ETF/N,SWEEP,"1,000",True
02:55 PM,CMPX,03/20/26,8,CALLS,5.73,500 @ 1.15,BLOCK,$58K,57500.0,ETF/N,BLOCK,500,True
11:00 AM,DAL,03/13/26,67,CALLS,62.26,500 @ 1.08,SWEEP,$54K,54000.0,DISCR,SWEEP,500,True
11:24 AM,WHR,03/20/26,65,CALLS,59.34,500 @ 0.98,SWEEP,$49K,48950.0,CONST,SWEEP,500,True
11:04 AM,WULF,03/20/26,16.5,CALLS,14.80,611 @ 0.75,BLOCK,$46K,45825.0,ETF/N,BLOCK,611,True
10:34 AM,LUNR,03/13/26,20.5,CALLS,17.73,646 @ 0.63,SPLIT,$40K,40371.0,ETF/N,SPLIT,646,True
11:52 AM,HIMX,03/20/26,8,CALLS,7.16,"2,494 @ 0.15",SWEEP,$37K,37235.0,TECH,SWEEP,"2,494",True
01:05 PM,FIG,03/20/26,35,CALLS,30.24,500 @ 0.65,SWEEP,$32K,32423.0,ETF/N,SWEEP,500,True
12:42 PM,IREN,03/06/26,43,CALLS,39.18,673 @ 0.43,SWEEP,$29K,28939.0,ETF/N,SWEEP,673,True
11:41 AM,MRNA,03/06/26,53,CALLS,49.14,500 @ 0.57,BLOCK,$29K,28500.0,HLTH,BLOCK,500,True
11:24 AM,SOFI,03/20/26,21.5,CALLS,18.59,992 @ 0.24,BLOCK,$24K,23808.0,FINS,BLOCK,992,True
10:31 AM,INTC,03/20/26,50,CALLS,42.66,500 @ 0.45,SWEEP,$23K,22500.0,TECH,SWEEP,500,True
01:36 PM,DKNG,03/13/26,26.5,CALLS,24.57,716 @ 0.30,SWEEP,$21K,21219.0,DISCR,SWEEP,716,True
01:34 PM,ONDS,03/13/26,14,CALLS,10.44,"1,000 @ 0.20",SWEEP,$20K,20000.0,TECH,SWEEP,"1,000",True
10:27 AM,SOFI,03/20/26,20,CALLS,17.77,500 @ 0.40,SWEEP,$20K,20000.0,FINS,SWEEP,500,True
11:52 AM,HIMX,03/20/26,8,CALLS,7.20,"1,286 @ 0.15",SWEEP,$19K,19290.0,TECH,SWEEP,"1,286",True
11:53 AM,RIVN,03/13/26,17,CALLS,15.44,932 @ 0.20,SWEEP,$19K,18640.0,CONST,SWEEP,932,True
10:56 AM,WULF,03/20/26,19,CALLS,14.59,700 @ 0.25,BLOCK,$18K,17500.0,ETF/N,BLOCK,700,True
01:01 PM,RIVN,03/20/26,17,CALLS,15.16,500 @ 0.31,BLOCK,$16K,15500.0,CONST,BLOCK,500,True
11:47 AM,BMNR,03/06/26,22,CALLS,19.84,841 @ 0.18,SWEEP,$15K,15138.0,ETF/N,SWEEP,841,True
11:04 AM,AAL,03/13/26,13,CALLS,11.94,776 @ 0.19,BLOCK,$15K,14744.0,DISCR,BLOCK,776,True
01:59 PM,BULL,04/02/26,7,CALLS,6.03,500 @ 0.29,SWEEP,$15K,14500.0,ETF/N,SWEEP,500,True
11:26 AM,GENI,03/20/26,7.5,CALLS,6.24,900 @ 0.15,SWEEP,$14K,13500.0,ETF/N,SWEEP,900,True
11:47 AM,BMNR,03/06/26,22,CALLS,19.84,677 @ 0.18,SWEEP,$12K,12186.0,ETF/N,SWEEP,677,True
