time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
09:33 AM,ORCL,03/27/26,190,CALLS,168.43,"4,545 @ 1.70",SWEEP,$773K,772674.0,TECH,SWEEP,"4,545",True
09:57 AM,IREN,04/02/26,47,CALLS,41.12,"2,351 @ 2.08",SWEEP,$489K,489008.0,ETF/N,SWEEP,"2,351",True
11:18 AM,IREN,04/10/26,49,CALLS,40.98,"1,536 @ 2.12",SWEEP,$326K,325632.0,ETF/N,SWEEP,"1,536",True
03:59 PM,INTC,03/27/26,55,CALLS,47.98,"3,000 @ 0.60",SWEEP,$180K,180000.0,TECH,SWEEP,"3,000",True
03:59 PM,SOC,03/20/26,19,CALLS,16.63,"2,333 @ 0.75",SWEEP,$175K,174975.0,ETF/N,SWEEP,"2,333",True
10:40 AM,AAOI,03/20/26,150,CALLS,124.61,502 @ 3.49,SWEEP,$175K,174951.0,TECH,SWEEP,502,True
03:57 PM,INTC,03/27/26,55,CALLS,47.99,"2,803 @ 0.59",SWEEP,$165K,165377.0,TECH,SWEEP,"2,803",True
12:05 PM,AAOI,03/20/26,150,CALLS,126.58,421 @ 3.90,SPLIT,$164K,164190.0,TECH,SPLIT,421,True
09:49 AM,FIGR,03/20/26,50,CALLS,41.30,"1,500 @ 1.00",BLOCK,$150K,150000.0,ETF/N,BLOCK,"1,500",True
01:01 PM,AA,03/27/26,71,CALLS,65.17,590 @ 1.91,SWEEP,$113K,112493.0,MAT,SWEEP,590,True
10:12 AM,AA,03/27/26,71,CALLS,64.39,670 @ 1.64,SWEEP,$110K,109880.0,MAT,SWEEP,670,True
09:38 AM,FIGR,03/13/26,45,CALLS,41.00,"1,000 @ 1.00",SWEEP,$100K,99988.0,ETF/N,SWEEP,"1,000",True
10:27 AM,APLD,03/27/26,35,CALLS,28.93,"1,012 @ 0.80",SWEEP,$81K,80960.0,ETF/N,SWEEP,"1,012",True
03:29 PM,CIFR,03/27/26,16,CALLS,13.86,"1,409 @ 0.56",SWEEP,$79K,78904.0,ETF/N,SWEEP,"1,409",True
03:43 PM,U,03/13/26,22,CALLS,20.16,"5,075 @ 0.13",SWEEP,$67K,67159.0,TECH,SWEEP,"5,075",True
11:04 AM,AAOI,03/13/26,140,CALLS,128.78,255 @ 2.42,SWEEP,$62K,61798.0,TECH,SWEEP,255,True
10:34 AM,CORZ,03/20/26,18,CALLS,16.43,"1,499 @ 0.40",SWEEP,$60K,59960.0,ETF/N,SWEEP,"1,499",True
09:55 AM,NVTS,03/27/26,11,CALLS,9.65,"1,277 @ 0.43",SWEEP,$55K,54911.0,ETF/N,SWEEP,"1,277",True
03:56 PM,INTC,03/27/26,55,CALLS,48.01,878 @ 0.57,BLOCK,$50K,50046.0,TECH,BLOCK,878,True
10:31 AM,DOCN,03/13/26,73,CALLS,67.43,"1,000 @ 0.50",SWEEP,$50K,49515.0,ETF/N,SWEEP,"1,000",True
09:47 AM,ASPI,03/20/26,6.5,CALLS,6.04,"1,303 @ 0.35",SWEEP,$46K,45585.0,ETF/N,SWEEP,"1,303",True
01:32 PM,UPS,04/10/26,110,CALLS,100.82,534 @ 0.80,BLOCK,$43K,42720.0,INDUS,BLOCK,534,True
10:36 AM,IREN,03/13/26,46,CALLS,42.37,"1,006 @ 0.40",SWEEP,$40K,40240.0,ETF/N,SWEEP,"1,006",True
03:50 PM,HIMX,03/20/26,10,CALLS,9.05,"2,000 @ 0.20",SWEEP,$40K,40000.0,TECH,SWEEP,"2,000",True
10:55 AM,HIMS,03/13/26,29,CALLS,26.79,500 @ 0.60,SPLIT,$30K,30000.0,HLTH,SPLIT,500,True
03:17 PM,JETS,03/27/26,27.5,CALLS,25.11,657 @ 0.45,SWEEP,$30K,29565.0,ETF/N,SWEEP,657,True
10:49 AM,HIMS,03/13/26,29,CALLS,26.87,500 @ 0.58,SPLIT,$29K,29000.0,HLTH,SPLIT,500,True
11:00 AM,ACIU,03/20/26,5,CALLS,3.00,"1,980 @ 0.13",BLOCK,$26K,25740.0,HLTH,BLOCK,"1,980",True
09:32 AM,INTC,03/20/26,52.5,CALLS,47.72,500 @ 0.50,SPLIT,$25K,25170.0,TECH,SPLIT,500,True
03:18 PM,CRML,03/13/26,10.5,CALLS,9.53,"1,552 @ 0.15",SWEEP,$23K,23175.0,ETF/N,SWEEP,"1,552",True
11:06 AM,ASPI,03/20/26,6.5,CALLS,6.04,600 @ 0.35,SPLIT,$21K,21000.0,ETF/N,SPLIT,600,True
02:53 PM,PATH,03/20/26,15,CALLS,11.77,699 @ 0.29,SWEEP,$20K,20271.0,ETF/N,SWEEP,699,True
10:30 AM,HIMS,03/13/26,29,CALLS,26.07,500 @ 0.40,SWEEP,$20K,19787.0,HLTH,SWEEP,500,True
10:18 AM,HIMS,03/13/26,30,CALLS,25.93,673 @ 0.25,SWEEP,$17K,16825.0,HLTH,SWEEP,673,True
10:14 AM,ONDS,03/20/26,12,CALLS,10.35,503 @ 0.30,BLOCK,$15K,15090.0,TECH,BLOCK,503,True
10:03 AM,ONDS,03/20/26,12,CALLS,10.18,500 @ 0.25,BLOCK,$13K,12500.0,TECH,BLOCK,500,True
03:57 PM,CLF,04/10/26,11,CALLS,9.24,500 @ 0.22,BLOCK,$11K,11000.0,MAT,BLOCK,500,True
01:28 PM,BMNR,03/13/26,23,CALLS,21.16,770 @ 0.13,SWEEP,$10K,10010.0,ETF/N,SWEEP,770,True
