time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
03:35 PM,CRDO,03/20/26,127,CALLS,116.20,"1,848 @ 2.80",BLOCK,$517K,517440.0,ETF/N,BLOCK,"1,848",True
10:38 AM,CRWV,04/10/26,96,CALLS,84.05,"1,146 @ 3.85",SWEEP,$441K,441182.0,ETF/N,SWEEP,"1,146",True
11:16 AM,TERN,04/17/26,50,CALLS,46.41,719 @ 5.77,BLOCK,$415K,414863.0,ETF/N,BLOCK,719,True
03:21 PM,ASTS,04/10/26,100,CALLS,85.96,632 @ 4.80,SWEEP,$303K,303360.0,ETF/N,SWEEP,632,True
02:03 PM,TAN,04/17/26,60,CALLS,55.07,"2,000 @ 1.35",SPLIT,$270K,269960.0,ETF/N,SPLIT,"2,000",True
03:32 PM,DOW,03/27/26,40,CALLS,36.69,"3,499 @ 0.59",BLOCK,$206K,206441.0,MAT,BLOCK,"3,499",True
11:30 AM,SOC,04/17/26,18,CALLS,16.07,"1,000 @ 1.90",BLOCK,$190K,190000.0,ETF/N,BLOCK,"1,000",True
10:12 AM,MOS,04/17/26,37.5,CALLS,29.89,"2,781 @ 0.64",SWEEP,$179K,178636.0,MAT,SWEEP,"2,781",True
09:32 AM,COIN,03/20/26,227.5,CALLS,204.60,860 @ 2.06,SWEEP,$177K,177338.0,FINS,SWEEP,860,True
09:35 AM,COIN,03/20/26,225,CALLS,200.31,801 @ 2.02,SWEEP,$162K,161790.0,FINS,SWEEP,801,True
10:24 AM,CRWV,03/27/26,92,CALLS,82.69,591 @ 2.63,SWEEP,$155K,155433.0,ETF/N,SWEEP,591,True
12:07 PM,AAL,03/27/26,11.5,CALLS,10.43,"4,999 @ 0.20",SWEEP,$100K,99980.0,DISCR,SWEEP,"4,999",True
10:29 AM,RXT,03/27/26,2,CALLS,1.84,"3,000 @ 0.29",SPLIT,$87K,87000.0,TECH,SPLIT,"3,000",True
10:18 AM,SOC,04/17/26,20,CALLS,15.80,600 @ 1.40,BLOCK,$84K,84000.0,ETF/N,BLOCK,600,True
03:58 PM,UVIX,04/02/26,10,CALLS,8.89,500 @ 1.40,BLOCK,$70K,70000.0,ETF/N,BLOCK,500,True
03:59 PM,UVIX,04/02/26,10,CALLS,8.88,500 @ 1.37,SWEEP,$69K,68500.0,ETF/N,SWEEP,500,True
10:35 AM,MARA,03/27/26,11,CALLS,9.86,"2,058 @ 0.33",SWEEP,$68K,67714.0,INDUS,SWEEP,"2,058",True
03:05 PM,FOXA,03/20/26,65,CALLS,59.76,"1,603 @ 0.35",SWEEP,$56K,56080.0,DISCR,SWEEP,"1,603",True
03:21 PM,SPXS,03/20/26,42.5,CALLS,39.12,579 @ 0.79,SWEEP,$46K,45740.0,ETF/N,SWEEP,579,True
02:14 PM,EQNR,04/17/26,41,CALLS,35.59,"1,000 @ 0.45",SWEEP,$45K,44980.0,ENERG,SWEEP,"1,000",True
03:44 PM,KGC,04/17/26,35,CALLS,30.50,500 @ 0.81,BLOCK,$41K,40500.0,MAT,BLOCK,500,True
09:35 AM,POET,04/17/26,10,CALLS,7.65,"1,000 @ 0.35",SWEEP,$35K,35000.0,ETF/N,SWEEP,"1,000",True
09:48 AM,BITX,03/27/26,20,CALLS,17.54,500 @ 0.52,BLOCK,$26K,26000.0,ETF/N,BLOCK,500,True
12:12 PM,NOK,04/17/26,10,CALLS,8.22,"1,245 @ 0.19",SPLIT,$24K,23655.0,TECH,SPLIT,"1,245",True
10:06 AM,UPXI,03/27/26,1.5,CALLS,1.11,"1,500 @ 0.15",BLOCK,$23K,22500.0,ETF/N,BLOCK,"1,500",True
10:50 AM,GSIT,03/20/26,10,CALLS,8.59,600 @ 0.35,SWEEP,$21K,20926.0,TECH,SWEEP,600,True
10:27 AM,HL,04/10/26,26.5,CALLS,20.03,500 @ 0.39,BLOCK,$20K,19500.0,MAT,BLOCK,500,True
01:29 PM,SOC,03/13/26,18.5,CALLS,17.15,749 @ 0.24,BLOCK,$18K,17976.0,ETF/N,BLOCK,749,True
11:57 AM,EOSE,03/20/26,6.5,CALLS,5.89,"1,018 @ 0.16",SWEEP,$16K,16288.0,INDUS,SWEEP,"1,018",True
