time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
12:16 PM,AVGO,03/06/26,385,CALLS,332.22,"1,000 @ 6.22",BLOCK,$622K,622000.0,INDUS,BLOCK,"1,000",True
11:12 AM,NVDA,02/27/26,200,CALLS,183.97,999 @ 3.15,SWEEP,$315K,314825.0,TECH,SWEEP,999,True
12:17 PM,AVGO,03/06/26,385,CALLS,332.31,500 @ 6.25,BLOCK,$313K,312500.0,INDUS,BLOCK,500,True
09:40 AM,MSTR,02/20/26,135,CALLS,121.47,587 @ 4.35,SWEEP,$255K,255340.0,TECH,SWEEP,587,True
12:36 PM,NVDA,02/27/26,205,CALLS,185.00,"1,000 @ 2.14",SPLIT,$214K,214000.0,TECH,SPLIT,"1,000",True
03:36 PM,SLV,02/27/26,80,CALLS,69.39,683 @ 2.93,BLOCK,$200K,200119.0,ETF/N,BLOCK,683,True
02:23 PM,NET,02/20/26,200,CALLS,170.84,500 @ 3.70,BLOCK,$185K,185000.0,TECH,BLOCK,500,True
01:49 PM,GOOGL,03/13/26,350,CALLS,325.34,355 @ 4.50,BLOCK,$160K,159750.0,TECH,BLOCK,355,True
11:57 AM,MSTR,02/13/26,150,CALLS,129.82,720 @ 1.63,BLOCK,$117K,117360.0,TECH,BLOCK,720,True
09:44 AM,U,02/20/26,28,CALLS,24.72,"1,000 @ 1.17",SWEEP,$117K,117000.0,TECH,SWEEP,"1,000",True
09:41 AM,HOOD,02/20/26,90,CALLS,80.40,500 @ 2.16,SPLIT,$108K,107920.0,TECH,SPLIT,500,True
10:21 AM,AVGO,02/20/26,360,CALLS,326.69,370 @ 2.85,BLOCK,$106K,105450.0,INDUS,BLOCK,370,True
12:14 PM,DNN,02/20/26,4,CALLS,3.60,"7,000 @ 0.15",BLOCK,$105K,105000.0,MAT,BLOCK,"7,000",True
10:11 AM,AVGO,02/20/26,360,CALLS,325.98,381 @ 2.72,BLOCK,$104K,103632.0,INDUS,BLOCK,381,True
11:42 AM,FDX,02/20/26,400,CALLS,363.45,370 @ 2.70,BLOCK,$100K,99900.0,INDUS,BLOCK,370,True
10:21 AM,AVGO,02/20/26,360,CALLS,326.31,340 @ 2.80,BLOCK,$95K,95200.0,INDUS,BLOCK,340,True
09:54 AM,HOOD,02/13/26,95,CALLS,81.93,800 @ 1.18,SPLIT,$94K,94400.0,TECH,SPLIT,800,True
12:47 PM,FRSH,02/20/26,10,CALLS,8.66,"3,000 @ 0.30",BLOCK,$90K,90000.0,ETF/N,BLOCK,"3,000",True
11:06 AM,NVDA,02/27/26,200,CALLS,183.45,300 @ 2.99,SWEEP,$90K,89540.0,TECH,SWEEP,300,True
02:14 PM,NXE,02/20/26,12,CALLS,11.01,"2,000 @ 0.39",SPLIT,$77K,77000.0,ETF/N,SPLIT,"2,000",True
03:10 PM,RDW,02/27/26,14,CALLS,9.95,"1,799 @ 0.40",BLOCK,$72K,71960.0,ETF/N,BLOCK,"1,799",True
03:10 PM,NVDA,02/27/26,205,CALLS,184.93,300 @ 2.12,SWEEP,$64K,63600.0,TECH,SWEEP,300,True
11:43 AM,AAOI,02/20/26,50,CALLS,42.52,401 @ 1.25,SWEEP,$50K,49925.0,TECH,SWEEP,401,True
11:12 AM,ETHA,03/13/26,17,CALLS,15.12,594 @ 0.80,BLOCK,$48K,47520.0,ETF/N,BLOCK,594,True
03:40 PM,MARA,02/20/26,10,CALLS,8.35,"2,500 @ 0.18",SWEEP,$45K,45000.0,INDUS,SWEEP,"2,500",True
01:25 PM,CSIQ,02/13/26,22,CALLS,19.31,"1,334 @ 0.25",SWEEP,$33K,33350.0,ENERG,SWEEP,"1,334",True
02:20 PM,LZ,02/20/26,9,CALLS,7.96,"1,000 @ 0.30",SWEEP,$30K,29993.0,ETF/N,SWEEP,"1,000",True
01:37 PM,CALY,02/20/26,17.5,CALLS,15.05,"1,000 @ 0.24",SWEEP,$24K,23982.0,ETF/N,SWEEP,"1,000",True
10:48 AM,POET,02/13/26,6,CALLS,5.55,"1,200 @ 0.19",SWEEP,$23K,22800.0,ETF/N,SWEEP,"1,200",True
01:30 PM,SVM,02/20/26,12.5,CALLS,10.38,800 @ 0.25,BLOCK,$20K,20000.0,DISCR,BLOCK,800,True
09:43 AM,GDRX,02/20/26,2.5,CALLS,2.25,"1,000 @ 0.20",SWEEP,$20K,20000.0,HLTH,SWEEP,"1,000",True
03:09 PM,RIVN,02/13/26,17.5,CALLS,14.96,690 @ 0.26,SWEEP,$18K,17938.0,CONST,SWEEP,690,True
09:46 AM,RDW,02/13/26,10,CALLS,9.09,510 @ 0.35,SWEEP,$18K,17850.0,ETF/N,SWEEP,510,True
03:40 PM,MARA,02/20/26,10,CALLS,8.35,595 @ 0.18,BLOCK,$11K,10710.0,INDUS,BLOCK,595,True
