time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
01:38 PM,RZLV,01/16/26,5,CALLS,3.67,"14,768 @ 0.19",SWEEP,$280K,280210.0,ETF/N,SWEEP,"14,768",True
10:39 AM,TSLA,01/30/26,480,CALLS,433.13,400 @ 6.54,SWEEP,$262K,261562.0,CONST,SWEEP,400,True
10:42 AM,RKLB,01/16/26,90,CALLS,83.23,500 @ 2.45,SWEEP,$123K,122500.0,ETF/N,SWEEP,500,True
11:45 AM,IONQ,01/16/26,55,CALLS,51.15,740 @ 1.39,SWEEP,$103K,102860.0,ETF/N,SWEEP,740,True
03:07 PM,FCX,01/23/26,59,CALLS,53.54,"2,000 @ 0.47",SPLIT,$94K,94000.0,MAT,SPLIT,"2,000",True
11:49 AM,NFLX,01/23/26,97,CALLS,90.03,500 @ 1.57,SWEEP,$79K,78500.0,DISCR,SWEEP,500,True
03:25 PM,AAPL,02/06/26,280,CALLS,258.18,500 @ 1.55,BLOCK,$78K,77500.0,TECH,BLOCK,500,True
11:24 AM,OSCR,01/16/26,20,CALLS,17.23,"2,500 @ 0.22",BLOCK,$55K,55000.0,ETF/N,BLOCK,"2,500",True
02:51 PM,ACHR,01/30/26,10,CALLS,8.84,"2,425 @ 0.22",SWEEP,$53K,53350.0,ETF/N,SWEEP,"2,425",True
03:21 PM,SLNO,01/16/26,65,CALLS,48.67,500 @ 1.00,SWEEP,$50K,50000.0,HLTH,SWEEP,500,True
03:07 PM,FCX,01/23/26,59,CALLS,53.54,999 @ 0.47,BLOCK,$47K,46953.0,MAT,BLOCK,999,True
01:48 PM,SM,01/16/26,20,CALLS,18.14,"2,997 @ 0.15",BLOCK,$45K,44955.0,ENERG,BLOCK,"2,997",True
11:49 AM,NFLX,01/23/26,97,CALLS,90.03,250 @ 1.57,BLOCK,$39K,39250.0,DISCR,BLOCK,250,True
12:39 PM,WRBY,01/30/26,32,CALLS,28.34,500 @ 0.70,SWEEP,$35K,34984.0,ETF/N,SWEEP,500,True
11:43 AM,CPNG,01/30/26,25,CALLS,22.75,"1,992 @ 0.16",SWEEP,$32K,31872.0,DISCR,SWEEP,"1,992",True
11:29 AM,RGTI,01/16/26,30,CALLS,25.98,522 @ 0.51,SWEEP,$27K,26622.0,ETF/N,SWEEP,522,True
10:47 AM,CRML,01/09/26,15,CALLS,13.35,750 @ 0.35,SWEEP,$26K,26241.0,ETF/N,SWEEP,750,True
10:45 AM,AMPX,01/16/26,10,CALLS,9.26,845 @ 0.30,SWEEP,$25K,25350.0,ETF/N,SWEEP,845,True
01:42 PM,RZLV,01/16/26,5,CALLS,3.77,"1,000 @ 0.24",SPLIT,$24K,24000.0,ETF/N,SPLIT,"1,000",True
02:51 PM,ACHR,01/30/26,10,CALLS,8.82,977 @ 0.22,SWEEP,$22K,21494.0,ETF/N,SWEEP,977,True
11:12 AM,QBTS,01/09/26,31.5,CALLS,29.19,"1,000 @ 0.17",BLOCK,$17K,17000.0,ETF/N,BLOCK,"1,000",True
10:47 AM,MNKD,01/16/26,7,CALLS,6.43,739 @ 0.15,SWEEP,$11K,11075.0,HLTH,SWEEP,739,True
10:48 AM,SOUN,01/23/26,12,CALLS,10.68,500 @ 0.22,SWEEP,$11K,11000.0,ETF/N,SWEEP,500,True
10:40 AM,OSCR,01/16/26,20,CALLS,17.48,500 @ 0.22,SWEEP,$11K,11000.0,ETF/N,SWEEP,500,True
