time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
12:27 PM,META,01/21/28,800,CALLS,652.33,500 @ 103.60,BLOCK,$5.2M,5180000.0,TECH,BLOCK,500,False
12:28 PM,LUV,06/18/26,55,CALLS,49.88,"15,000 @ 3.15",BLOCK,$4.7M,4725000.0,DISCR,BLOCK,"15,000",False
02:15 PM,XLE,03/20/26,55,CALLS,54.22,"27,215 @ 1.45",SPLIT,$4M,3951169.0,ETF/N,SPLIT,"27,215",False
01:02 PM,APLD,03/20/26,35,CALLS,35.26,"4,999 @ 5.50",SWEEP,$2.7M,2749450.0,ETF/N,SWEEP,"4,999",False
02:03 PM,JPM,08/21/26,300,PUTS,303.25,"1,000 @ 22.44",BLOCK,$2.2M,2244000.0,FINS,BLOCK,"1,000",False
11:38 AM,WMT,06/18/26,135,CALLS,132.96,"2,000 @ 9.59",BLOCK,$1.9M,1918000.0,DISCR,BLOCK,"2,000",False
11:38 AM,TLT,09/18/26,95,CALLS,88.70,"14,300 @ 1.28",BLOCK,$1.8M,1830400.0,ETF/N,BLOCK,"14,300",False
03:35 PM,U,01/15/27,18,PUTS,19.54,"4,000 @ 4.40",BLOCK,$1.8M,1760000.0,TECH,BLOCK,"4,000",False
03:34 PM,AVGO,02/20/26,305,PUTS,329.94,"5,500 @ 2.95",BLOCK,$1.6M,1622500.0,INDUS,BLOCK,"5,500",False
03:53 PM,XLU,04/17/26,47,CALLS,45.31,"21,330 @ 0.74",BLOCK,$1.6M,1578420.0,ETF/N,BLOCK,"21,330",False
01:17 PM,FEZ,08/21/26,64,CALLS,67.59,"2,477 @ 6.18",BLOCK,$1.5M,1530786.0,ETF/N,BLOCK,"2,477",False
12:42 PM,UNH,04/17/26,290,CALLS,281.74,"1,000 @ 14.82",BLOCK,$1.5M,1482000.0,HLTH,BLOCK,"1,000",False
01:38 PM,SCCO,03/20/26,195,PUTS,198.99,"1,207 @ 12.20",BLOCK,$1.5M,1472540.0,MAT,BLOCK,"1,207",False
10:48 AM,AKAM,02/20/26,110,CALLS,105.75,"2,235 @ 5.80",BLOCK,$1.3M,1296300.0,TECH,BLOCK,"2,235",False
03:36 PM,TLT,09/18/26,95,CALLS,89.25,"8,026 @ 1.45",BLOCK,$1.2M,1163770.0,ETF/N,BLOCK,"8,026",False
11:32 AM,MU,02/13/26,410,CALLS,412.86,"1,018 @ 11.00",SWEEP,$1.1M,1119457.0,TECH,SWEEP,"1,018",False
03:00 PM,SRE,02/20/26,90,CALLS,93.27,"3,000 @ 3.50",BLOCK,$1.1M,1050000.0,util,BLOCK,"3,000",False
