time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
02:13 PM,TSM,01/15/27,450,CALLS,364.24,"5,000 @ 35.35",BLOCK,$17.7M,17675000.0,TECH,BLOCK,"5,000",False
09:33 AM,NVDA,01/15/27,180,CALLS,191.40,"1,000 @ 43.00",BLOCK,$4.3M,4300000.0,TECH,BLOCK,"1,000",False
11:29 AM,IYR,04/17/26,95,CALLS,99.05,"6,999 @ 5.49",SPLIT,$3.8M,3842450.0,ETF/N,SPLIT,"6,999",False
01:35 PM,AMZN,12/15/28,330,CALLS,207.52,"1,400 @ 27.40",BLOCK,$3.8M,3836000.0,DISCR,BLOCK,"1,400",False
10:12 AM,MSFT,08/21/26,480,CALLS,422.37,"2,000 @ 18.50",SPLIT,$3.7M,3700000.0,TECH,SPLIT,"2,000",False
11:39 AM,BE,03/20/26,140,PUTS,149.26,"2,000 @ 17.65",BLOCK,$3.5M,3530000.0,INDUS,BLOCK,"2,000",False
12:50 PM,DOW,04/17/26,37.5,CALLS,33.80,"28,500 @ 1.08",SPLIT,$3.1M,3078000.0,MAT,SPLIT,"28,500",False
01:40 PM,VYX,12/18/26,12.5,CALLS,9.84,"25,000 @ 1.20",BLOCK,$3M,3000000.0,ETF/N,BLOCK,"25,000",False
11:27 AM,TSM,12/17/27,240,PUTS,361.00,972 @ 24.54,SWEEP,$2.4M,2385135.0,TECH,SWEEP,972,False
12:43 PM,XOP,01/21/28,142,PUTS,145.44,"1,100 @ 19.75",BLOCK,$2.2M,2172500.0,ETF/N,BLOCK,"1,100",False
10:22 AM,XHB,06/18/26,130,CALLS,119.14,"5,000 @ 4.20",BLOCK,$2.1M,2100000.0,ETF/N,BLOCK,"5,000",False
04:08 PM,SPY,03/20/26,659,PUTS,692.50,"4,000 @ 5.06",SWEEP,$2M,2025030.0,ETF/N,SWEEP,"4,000",False
11:44 AM,BE,07/17/26,200,CALLS,149.62,613 @ 32.29,SWEEP,$2M,1979625.0,INDUS,SWEEP,613,False
10:08 AM,XLE,12/15/28,75,CALLS,53.32,"5,000 @ 3.64",SWEEP,$1.8M,1820328.0,ETF/N,SWEEP,"5,000",False
10:35 AM,SPY,09/30/26,664,PUTS,695.77,689 @ 23.65,SPLIT,$1.6M,1629485.0,ETF/N,SPLIT,689,False
03:36 PM,MU,02/13/26,375,CALLS,370.49,"1,510 @ 10.10",BLOCK,$1.5M,1525100.0,TECH,BLOCK,"1,510",False
03:05 PM,WULF,06/18/26,20,CALLS,17.05,"4,750 @ 3.05",BLOCK,$1.4M,1448750.0,ETF/N,BLOCK,"4,750",False
10:49 AM,IWM,03/20/26,254,PUTS,267.59,"4,500 @ 3.17",SWEEP,$1.4M,1426599.0,ETF/N,SWEEP,"4,500",False
12:49 PM,CVNA,03/20/26,490,CALLS,407.01,971 @ 14.00,BLOCK,$1.4M,1359400.0,DISCR,BLOCK,971,False
02:44 PM,ORCL,04/17/26,195,CALLS,160.84,"2,000 @ 6.67",BLOCK,$1.3M,1334000.0,TECH,BLOCK,"2,000",False
10:31 AM,NFLX,02/27/26,84,CALLS,84.17,"4,400 @ 2.75",SWEEP,$1.2M,1210010.0,DISCR,SWEEP,"4,400",False
03:05 PM,CRWV,06/18/26,100,CALLS,95.77,501 @ 22.67,SWEEP,$1.1M,1135901.0,ETF/N,SWEEP,501,False
10:07 AM,AMZN,08/21/26,250,CALLS,211.88,"1,052 @ 10.75",SWEEP,$1.1M,1130632.0,DISCR,SWEEP,"1,052",False
02:10 PM,CRWV,06/18/26,100,CALLS,95.14,500 @ 22.28,SWEEP,$1.1M,1114175.0,ETF/N,SWEEP,500,False
