time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
12:32 PM,MSFT,04/17/26,510,CALLS,469.23,"5,500 @ 11.30",SWEEP,$6.2M,6213300.0,TECH,SWEEP,"5,500",False
11:37 AM,MSFT,04/17/26,510,CALLS,466.36,"5,441 @ 10.04",SWEEP,$5.5M,5461277.0,TECH,SWEEP,"5,441",False
11:17 AM,MSFT,04/17/26,510,CALLS,468.16,"4,064 @ 10.76",SWEEP,$4.4M,4373789.0,TECH,SWEEP,"4,064",False
11:19 AM,MSFT,04/17/26,510,CALLS,468.69,"4,000 @ 10.82",SWEEP,$4.3M,4329250.0,TECH,SWEEP,"4,000",False
10:55 AM,GLD,01/30/26,456,CALLS,455.91,"4,998 @ 7.80",BLOCK,$3.9M,3898440.0,ETF/N,BLOCK,"4,998",False
11:51 AM,MSFT,04/17/26,510,CALLS,468.81,"3,458 @ 11.02",SWEEP,$3.8M,3810705.0,TECH,SWEEP,"3,458",False
11:23 AM,TSLA,01/30/26,460,CALLS,449.92,"3,285 @ 9.93",SWEEP,$3.3M,3263134.0,CONST,SWEEP,"3,285",False
02:36 PM,WULF,03/20/26,15,CALLS,13.98,"17,139 @ 1.75",SWEEP,$3M,2995513.0,ETF/N,SWEEP,"17,139",False
02:56 PM,AR,02/20/26,37,CALLS,34.24,"35,000 @ 0.85",BLOCK,$3M,2975000.0,ENERG,BLOCK,"35,000",True
12:21 PM,CVX,12/18/26,165,PUTS,167.19,"2,000 @ 13.70",BLOCK,$2.7M,2740000.0,ENERG,BLOCK,"2,000",False
02:51 PM,AR,02/20/26,37,CALLS,34.16,"35,000 @ 0.75",BLOCK,$2.6M,2625000.0,ENERG,BLOCK,"35,000",True
12:06 PM,QQQ,03/31/26,624,CALLS,623.85,"1,001 @ 21.71",SWEEP,$2.2M,2173077.0,ETF/N,SWEEP,"1,001",False
02:59 PM,SLV,01/30/26,92,CALLS,92.42,"4,998 @ 4.34",SPLIT,$2.2M,2169124.0,ETF/N,SPLIT,"4,998",False
01:04 PM,SLV,01/30/26,91,CALLS,91.64,"4,000 @ 4.40",SWEEP,$1.8M,1760000.0,ETF/N,SWEEP,"4,000",False
12:46 PM,SLV,01/30/26,91,CALLS,91.70,"4,002 @ 4.37",SPLIT,$1.7M,1748880.0,ETF/N,SPLIT,"4,002",False
12:42 PM,ARKK,02/20/26,79,PUTS,81.36,"7,667 @ 2.20",SWEEP,$1.7M,1683121.0,ETF/N,SWEEP,"7,667",False
03:32 PM,APO,05/15/26,130,PUTS,135.96,"2,226 @ 7.25",SPLIT,$1.6M,1613850.0,FINS,SPLIT,"2,226",False
01:21 PM,XLK,06/18/26,140,PUTS,145.18,"2,499 @ 6.40",SWEEP,$1.6M,1598955.0,ETF/N,SWEEP,"2,499",False
03:02 PM,SLV,01/30/26,92,CALLS,92.28,"3,326 @ 4.31",SWEEP,$1.4M,1432215.0,ETF/N,SWEEP,"3,326",False
02:29 PM,CORZ,03/20/26,21,CALLS,18.69,"7,395 @ 1.80",SWEEP,$1.3M,1333130.0,ETF/N,SWEEP,"7,395",False
12:10 PM,GLD,10/16/26,515,CALLS,458.24,608 @ 21.30,SWEEP,$1.3M,1294984.0,ETF/N,SWEEP,608,False
10:38 AM,MSFT,02/06/26,480,CALLS,464.93,"1,509 @ 8.42",SWEEP,$1.3M,1270614.0,TECH,SWEEP,"1,509",False
12:49 PM,IWM,03/31/26,260,PUTS,265.51,"1,898 @ 6.63",SWEEP,$1.3M,1259094.0,ETF/N,SWEEP,"1,898",False
03:20 PM,PAAS,01/21/28,70,CALLS,65.15,622 @ 20.00,SWEEP,$1.2M,1244000.0,MAT,SWEEP,622,False
03:52 PM,AAPL,06/18/26,280,CALLS,248.06,"2,000 @ 6.15",SWEEP,$1.2M,1229667.0,TECH,SWEEP,"2,000",False
11:33 AM,ZBH,03/20/26,85,PUTS,86.27,"3,500 @ 3.39",BLOCK,$1.2M,1186500.0,HLTH,BLOCK,"3,500",False
12:22 PM,ARKK,02/20/26,79,PUTS,81.53,"5,021 @ 2.28",SWEEP,$1.1M,1144327.0,ETF/N,SWEEP,"5,021",False
02:14 PM,BSX,03/20/26,97.5,CALLS,91.76,"5,000 @ 2.20",SPLIT,$1.1M,1100000.0,HLTH,SPLIT,"5,000",False
12:32 PM,ARKK,02/20/26,79,PUTS,81.50,"4,920 @ 2.15",SWEEP,$1.1M,1057926.0,ETF/N,SWEEP,"4,920",False
01:11 PM,VRRM,03/20/26,20,CALLS,21.35,"4,200 @ 2.50",BLOCK,$1.1M,1050000.0,TECH,BLOCK,"4,200",False
10:45 AM,GLD,02/27/26,475,CALLS,455.92,"1,149 @ 8.90",SWEEP,$1M,1022410.0,ETF/N,SWEEP,"1,149",False
