time,ticker,exp,strike,cp,spot,details,type,premium_raw,premium,sector,order_type,qty,unusual
11:55 AM,AMZN,03/20/26,245,CALLS,244.78,"2,107 @ 13.70",SWEEP,$2.9M,2886590.0,DISCR,SWEEP,"2,107",False
12:14 PM,SOXX,02/20/26,330,PUTS,354.13,"7,000 @ 4.00",BLOCK,$2.8M,2800000.0,ETF/N,BLOCK,"7,000",False
11:05 AM,TSLA,02/27/26,435,CALLS,418.75,"1,900 @ 12.10",BLOCK,$2.3M,2299000.0,CONST,BLOCK,"1,900",False
11:00 AM,COIN,05/21/27,125,PUTS,189.19,945 @ 19.15,SWEEP,$1.8M,1810100.0,FINS,SWEEP,945,False
03:33 PM,AMZN,02/20/26,242.5,CALLS,242.79,"1,500 @ 11.10",SWEEP,$1.7M,1664599.0,DISCR,SWEEP,"1,500",False
11:30 AM,CRCL,02/27/26,64,CALLS,61.30,"3,500 @ 4.40",SPLIT,$1.5M,1540000.0,ETF/N,SPLIT,"3,500",False
03:32 PM,PLTR,06/17/27,200,CALLS,147.30,539 @ 26.75,SWEEP,$1.4M,1441825.0,TECH,SWEEP,539,False
10:55 AM,GOSS,03/20/26,3,CALLS,2.56,"10,000 @ 1.40",BLOCK,$1.4M,1400000.0,HLTH,BLOCK,"10,000",False
01:15 PM,PEP,01/15/27,165,CALLS,155.39,"1,572 @ 8.50",BLOCK,$1.3M,1336200.0,CONST,BLOCK,"1,572",False
03:33 PM,MRVL,02/20/26,79,CALLS,77.95,"4,000 @ 3.30",SWEEP,$1.3M,1321197.0,TECH,SWEEP,"4,000",False
12:00 PM,WPM,01/15/27,110,PUTS,130.71,"1,000 @ 12.60",BLOCK,$1.3M,1260000.0,MAT,BLOCK,"1,000",False
11:00 AM,COIN,05/21/27,125,PUTS,188.91,639 @ 19.48,SWEEP,$1.2M,1244525.0,FINS,SWEEP,639,False
03:30 PM,COIN,04/17/26,185,CALLS,186.66,546 @ 22.50,SWEEP,$1.2M,1228500.0,FINS,SWEEP,546,False
11:36 AM,MU,02/06/26,430,CALLS,438.88,507 @ 20.00,SWEEP,$1M,1014000.0,TECH,SWEEP,507,False
